,Column1,Column2,Column3,Column4,Column5
0,Steven,got,three,small,tables
1,Nina,ordered,nine,heavy,tables
2,Peter,got,three,pretty,flowers
3,Kathy,gives,twelve,cheap,tables
4,Thomas,ordered,nine,heavy,sofas
5,Thomas,got,eight,red,windows
6,Thomas,got,twelve,small,toys
7,Peter,gives,sixty,pretty,rings
8,Steven,prefers,four,large,houses
9,Allen,sold,seven,old,spoons
10,Allen,bought,nineteen,pretty,sofas
11,Kathy,sees,four,old,toys
12,Rachel,prefers,twelve,red,desks
13,Nina,has,fifteen,white,spoons
14,Allen,wants,eight,green,toys
15,Kathy,sees,seven,heavy,houses
16,Allen,kept,twelve,white,tables
17,Peter,sold,eight,large,sofas
18,William,sees,sixty,cheap,chairs
19,Thomas,kept,fifteen,dark,windows
20,Peter,ordered,two,dark,tables
21,Rachel,sees,three,large,spoons
22,William,wants,sixty,pretty,chairs
23,William,sees,sixty,cheap,flowers
24,Thomas,got,twelve,heavy,windows
25,Allen,sees,fifteen,red,tables
26,Kathy,gives,nine,old,chairs
27,Peter,got,three,green,desks
28,Peter,has,nineteen,white,windows
29,William,kept,nine,large,rings
30,Peter,wants,nineteen,red,windows
31,Steven,sold,fifteen,pretty,houses
32,Rachel,ordered,twelve,cheap,tables
33,Nina,wants,nine,cheap,flowers
34,Lucy,wants,three,cheap,flowers
35,Kathy,wants,fifteen,cheap,desks
36,Peter,got,sixty,small,chairs
37,William,ordered,nine,dark,windows
38,Rachel,has,twelve,old,tables
39,Kathy,wants,fifteen,green,tables
40,Doris,ordered,seven,red,rings
41,Thomas,prefers,nine,cheap,spoons
42,Nina,kept,four,pretty,houses
43,Steven,has,four,heavy,chairs
44,Allen,got,sixty,cheap,toys
45,Thomas,prefers,fifteen,small,houses
46,Allen,sold,seven,old,spoons
47,William,prefers,three,green,flowers
