,0
0,match left
1,match left
2,match left
3,mismatch left
4,mismatch left
5,match right
6,mismatch right
7,mismatch left
8,match right
9,match left
10,match right
11,match left
12,mismatch right
13,match right
14,mismatch left
15,match right
16,mismatch left
17,match right
18,mismatch right
19,mismatch right
20,mismatch left
21,mismatch left
22,match right
23,mismatch right
24,match right
25,match left
26,mismatch left
27,mismatch left
28,mismatch right
29,match right
30,mismatch right
31,mismatch right
32,match right
33,match left
34,mismatch right
35,mismatch right
36,mismatch left
37,mismatch left
38,mismatch left
39,match right
40,match left
41,match left
42,match right
43,match left
44,mismatch right
45,match left
46,mismatch right
47,match left
