,Column1,Column2,Column3,Column4,Column5
0,Rachel,got,three,cheap,toys
1,Peter,sees,fifteen,green,chairs
2,Peter,got,eight,white,windows
3,William,prefers,three,green,flowers
4,Thomas,ordered,three,pretty,houses
5,Kathy,got,twelve,white,windows
6,Steven,ordered,two,dark,spoons
7,Doris,got,eight,large,rings
8,Doris,sees,twelve,red,toys
9,Steven,wants,twelve,white,desks
10,William,wants,three,pretty,desks
11,Peter,sold,eight,small,toys
12,Peter,got,fifteen,small,desks
13,Peter,sold,two,white,desks
14,Allen,gives,fifteen,old,desks
15,Allen,wants,seven,pretty,windows
16,Allen,got,eight,pretty,flowers
17,Lucy,wants,two,red,sofas
18,Steven,got,three,large,chairs
19,Peter,wants,two,white,chairs
20,Steven,kept,fifteen,small,sofas
21,Rachel,sees,three,pretty,rings
22,Allen,prefers,four,dark,desks
23,Rachel,gives,twelve,dark,desks
24,Lucy,has,three,red,desks
25,Rachel,sold,fifteen,old,rings
26,William,has,three,green,tables
27,Kathy,sees,two,green,toys
28,Peter,sold,four,heavy,windows
29,Peter,got,four,green,desks
30,Allen,got,fifteen,old,chairs
31,Thomas,wants,three,old,flowers
32,Allen,gives,fifteen,cheap,flowers
33,Kathy,wants,nineteen,cheap,flowers
34,Lucy,prefers,fifteen,heavy,sofas
35,Peter,bought,nineteen,cheap,houses
36,Rachel,wants,fifteen,red,windows
37,Thomas,sold,sixty,white,flowers
38,Peter,got,nineteen,heavy,windows
39,Rachel,wants,twelve,large,flowers
40,Allen,got,three,cheap,chairs
41,Thomas,prefers,fifteen,small,houses
42,Peter,ordered,three,white,houses
43,Doris,sold,sixty,green,spoons
44,William,got,nine,red,windows
45,Doris,sold,twelve,old,sofas
46,Allen,prefers,two,heavy,desks
47,Thomas,wants,fifteen,heavy,tables
