,0
0,William kept two red windows_1.mp4
1,Peter sees fifteen green chairs_1.mp4
2,Peter got eight white windows_1.mp4
3,William prefers three green flowers_1.mp4
4,Peter sold twelve small flowers_1.mp4
5,William ordered two old desks_1.mp4
6,Steven ordered two dark spoons_1.mp4
7,Doris got eight large rings_1.mp4
8,Doris sees twelve red toys_1.mp4
9,Rachel got eight small houses_1.mp4
10,William wants three pretty desks_1.mp4
11,Thomas wants fifteen heavy tables_1.mp4
12,Peter got fifteen small desks_1.mp4
13,Thomas got twelve small toys_1.mp4
14,Allen gives fifteen old desks_1.mp4
15,Peter gives twelve small desks_1.mp4
16,Rachel has twelve old tables_1.mp4
17,Allen got sixty cheap toys_1.mp4
18,Steven got three large chairs_1.mp4
19,Peter wants two white chairs_1.mp4
20,Steven kept fifteen small sofas_1.mp4
21,Thomas bought sixty white spoons_1.mp4
22,Thomas wants three cheap spoons_1.mp4
23,Nina wants three heavy windows_1.mp4
24,Lucy has three red desks_1.mp4
25,Rachel sold fifteen old rings_1.mp4
26,Rachel wants twelve white flowers_1.mp4
27,Peter got sixty red spoons_1.mp4
28,Peter sold four heavy windows_1.mp4
29,Peter got four green desks_1.mp4
30,Peter gives twelve small desks_1.mp4
31,Thomas wants three old flowers_1.mp4
32,Allen gives fifteen cheap flowers_1.mp4
33,Allen kept twelve white tables_1.mp4
34,Peter wants two white chairs_1.mp4
35,Peter bought nineteen cheap houses_1.mp4
36,Rachel wants fifteen red windows_1.mp4
37,Doris got eight large rings_1.mp4
38,Peter got nineteen heavy windows_1.mp4
39,Doris has seven green tables_1.mp4
40,Allen got three cheap chairs_1.mp4
41,Thomas prefers fifteen small houses_1.mp4
42,Peter ordered three white houses_1.mp4
43,Doris sold sixty green spoons_1.mp4
44,Thomas prefers three white desks_1.mp4
45,Doris sold twelve old sofas_1.mp4
46,Allen prefers two heavy desks_1.mp4
47,Thomas wants fifteen heavy tables_1.mp4
