,0
0,Peter ordered two dark sofas_1.mp4
1,William sold sixty large desks_1.mp4
2,Allen bought seven pretty tables_1.mp4
3,Peter sees sixty large spoons_1.mp4
4,Thomas kept two small spoons_1.mp4
5,William prefers three large desks_1.mp4
6,Steven has four heavy chairs_1.mp4
7,Peter got fifteen small desks_1.mp4
8,Kathy ordered eight old sofas_1.mp4
9,Doris sees sixty pretty desks_1.mp4
10,Lucy kept two green chairs_1.mp4
11,Thomas prefers eight cheap toys_1.mp4
12,William got three pretty desks_1.mp4
13,Allen prefers four small sofas_1.mp4
14,Kathy gives nineteen red spoons_1.mp4
15,Thomas has sixty dark houses_1.mp4
16,Peter sold fifteen cheap spoons_1.mp4
17,Thomas ordered three old houses_1.mp4
18,William prefers sixty small sofas_1.mp4
19,Doris kept seven large sofas_1.mp4
20,Thomas wants three old flowers_1.mp4
21,Allen gives four pretty desks_1.mp4
22,Peter has nineteen white windows_1.mp4
23,Steven got twelve pretty windows_1.mp4
24,Kathy ordered three dark desks_1.mp4
25,Thomas sees eight old toys_1.mp4
26,Kathy has eight red flowers_1.mp4
27,William got three dark houses_1.mp4
28,Nina kept four large tables_1.mp4
29,Peter bought nineteen pretty rings_1.mp4
30,Lucy ordered four cheap chairs_1.mp4
31,Peter kept eight dark toys_1.mp4
32,Lucy gives nineteen pretty desks_1.mp4
33,Thomas wants three cheap spoons_1.mp4
34,Steven ordered sixty pretty desks_1.mp4
35,Doris got seven cheap desks_1.mp4
36,Peter gives three green rings_1.mp4
37,Steven bought four small tables_1.mp4
38,Allen bought seven pretty tables_1.mp4
39,Peter sees sixty large spoons_1.mp4
40,Doris sold nine dark tables_1.mp4
41,William gives nineteen small sofas_1.mp4
42,Kathy ordered fifteen cheap toys_1.mp4
43,Peter got nineteen heavy windows_1.mp4
44,Lucy wants three cheap flowers_1.mp4
45,Allen gives fifteen old desks_1.mp4
46,Rachel sold seven green houses_1.mp4
47,Nina wants three heavy flowers_1.mp4
48,Kathy prefers seven green rings_1.mp4
49,Thomas sees eight old toys_1.mp4
50,Rachel has nineteen white desks_1.mp4
51,Rachel gives fifteen small desks_1.mp4
52,Peter bought nineteen pretty rings_1.mp4
53,Thomas got twelve dark houses_1.mp4
54,Steven kept nine small spoons_1.mp4
55,Doris sees three old desks_1.mp4
56,William has sixty white chairs_1.mp4
57,Lucy gives eight cheap toys_1.mp4
58,Allen prefers four small flowers_1.mp4
59,Peter sold fifteen cheap chairs_1.mp4
