,0
0,match left
1,match left
2,match right
3,mismatch left
4,match left
5,match left
6,match left
7,mismatch left
8,match left
9,mismatch left
10,mismatch left
11,match right
12,match right
13,mismatch right
14,match left
15,match right
16,match right
17,match left
18,match right
19,mismatch left
20,match left
21,match left
22,mismatch left
23,mismatch right
24,mismatch left
25,match right
26,mismatch right
27,mismatch left
28,match right
29,mismatch right
30,mismatch right
31,match left
32,mismatch left
33,mismatch left
34,match right
35,match right
36,mismatch right
37,mismatch right
38,mismatch left
39,mismatch left
40,match right
41,match right
42,mismatch right
43,match left
44,mismatch right
45,match left
46,mismatch right
47,mismatch left
48,mismatch right
49,match right
50,match left
51,mismatch right
52,mismatch right
53,mismatch right
54,match left
55,mismatch left
56,match right
57,mismatch right
58,match right
59,mismatch left
