,0
0,Peter got three cheap houses_1.mp4
1,Steven wants fifteen heavy tables_1.mp4
2,Lucy has two small flowers_1.mp4
3,Peter wants twelve large windows_1.mp4
4,Nina sees nineteen green houses_1.mp4
5,Peter got three cheap tables_1.mp4
6,Allen ordered twelve heavy rings_1.mp4
7,Lucy has four white chairs_1.mp4
8,Thomas got nineteen heavy desks_1.mp4
9,Kathy wants two pretty sofas_1.mp4
10,William kept nine large rings_1.mp4
11,Peter got nine green sofas_1.mp4
12,Lucy ordered four cheap chairs_1.mp4
13,Kathy wants fifteen green tables_1.mp4
14,Thomas has sixty dark houses_1.mp4
15,Steven kept nine small spoons_1.mp4
16,Rachel ordered four pretty spoons_1.mp4
17,Thomas wants seven green toys_1.mp4
18,Rachel sees three pretty chairs_1.mp4
19,Nina kept four large tables_1.mp4
20,Kathy sees seven heavy houses_1.mp4
21,Lucy has two small flowers_1.mp4
22,Doris got eight heavy spoons_1.mp4
23,Allen sold twelve dark desks_1.mp4
24,Doris has three dark desks_1.mp4
25,Rachel bought eight white rings_1.mp4
26,Kathy kept seven green flowers_1.mp4
27,Nina prefers four red windows_1.mp4
28,Peter sees sixty large spoons_1.mp4
29,Rachel sold three red windows_1.mp4
30,Peter ordered three white houses_1.mp4
31,William got three pretty desks_1.mp4
32,Allen prefers four small sofas_1.mp4
33,Peter ordered two dark tables_1.mp4
34,Thomas wants three cheap spoons_1.mp4
35,Steven got seven green flowers_1.mp4
36,Thomas kept fifteen dark windows_1.mp4
37,Nina sold sixty large rings_1.mp4
38,Peter has fifteen white windows_1.mp4
39,Allen prefers two old desks_1.mp4
40,Peter got twelve large windows_1.mp4
41,Thomas gives three small houses_1.mp4
42,Doris kept nineteen cheap spoons_1.mp4
43,Nina sold four heavy rings_1.mp4
44,Kathy bought sixty red chairs_1.mp4
45,Thomas has four pretty rings_1.mp4
46,Lucy kept two green chairs_1.mp4
47,Doris wants twelve cheap toys_1.mp4
