,Column1,Column2,Column3,Column4,Column5
0,Peter,got,three,cheap,houses
1,Steven,wants,fifteen,heavy,tables
2,Doris,sees,fifteen,large,sofas
3,Kathy,sees,four,old,toys
4,Kathy,bought,fifteen,large,toys
5,Peter,got,three,cheap,tables
6,William,kept,nine,small,windows
7,Rachel,gives,eight,dark,spoons
8,Peter,got,nineteen,large,desks
9,Thomas,bought,three,red,windows
10,William,kept,nine,large,rings
11,Peter,got,nine,green,sofas
12,Nina,sold,twelve,old,windows
13,Doris,gives,two,large,sofas
14,Rachel,got,eight,white,desks
15,Steven,kept,nine,small,spoons
16,Rachel,ordered,four,pretty,spoons
17,Kathy,prefers,seven,green,rings
18,Rachel,sees,three,pretty,chairs
19,Peter,gives,twelve,small,desks
20,William,sold,two,heavy,rings
21,Lucy,has,two,small,flowers
22,Doris,got,eight,heavy,spoons
23,Allen,sold,twelve,dark,desks
24,Doris,has,three,dark,desks
25,Rachel,bought,eight,white,rings
26,Kathy,kept,seven,green,flowers
27,Thomas,ordered,three,old,houses
28,Peter,sees,sixty,large,spoons
29,Rachel,sold,three,red,windows
30,Peter,ordered,three,white,houses
31,Lucy,sold,nine,large,spoons
32,Lucy,has,nineteen,white,chairs
33,Peter,ordered,two,dark,tables
34,Thomas,wants,three,cheap,spoons
35,Steven,got,seven,green,flowers
36,Thomas,kept,fifteen,dark,windows
37,Nina,sold,sixty,large,rings
38,Peter,has,fifteen,white,windows
39,Allen,prefers,two,old,desks
40,Peter,got,twelve,large,windows
41,William,has,seven,white,tables
42,Doris,kept,nineteen,cheap,spoons
43,Steven,sees,eight,green,sofas
44,Kathy,bought,sixty,red,chairs
45,Rachel,has,twelve,old,tables
46,Rachel,got,eight,small,houses
47,Peter,gives,sixty,large,tables
