,0
0,mismatch right
1,match right
2,match right
3,match right
4,mismatch right
5,match left
6,match left
7,match left
8,mismatch left
9,match right
10,mismatch left
11,mismatch right
12,match left
13,mismatch right
14,mismatch right
15,match left
16,mismatch left
17,mismatch right
18,mismatch left
19,match right
20,match left
21,match right
22,match right
23,match left
24,mismatch right
25,mismatch right
26,mismatch left
27,match left
28,match right
29,mismatch right
30,mismatch right
31,match right
32,mismatch right
33,match left
34,mismatch left
35,mismatch left
36,mismatch left
37,match left
38,match right
39,match left
40,match left
41,match right
42,match right
43,mismatch right
44,mismatch left
45,mismatch left
46,mismatch left
47,mismatch left
