,0
0,Lucy gives seven green sofas_1.mp4
1,Peter ordered nineteen large rings_1.mp4
2,Doris bought fifteen cheap tables_1.mp4
3,Rachel sees four old houses_1.mp4
4,Rachel wants seven heavy tables_1.mp4
5,Thomas gives seven pretty toys_1.mp4
6,Rachel wants four cheap desks_1.mp4
7,Thomas got seven pretty flowers_1.mp4
8,Doris prefers three white rings_1.mp4
9,Allen wants four large spoons_1.mp4
10,Thomas gives eight large tables_1.mp4
11,Rachel ordered two dark tables_1.mp4
12,Allen prefers fifteen white toys_1.mp4
13,Steven kept nineteen heavy windows_1.mp4
14,Kathy bought sixty large houses_1.mp4
15,Nina sees seven small sofas_1.mp4
16,Peter prefers three large chairs_1.mp4
17,Peter has nine small toys_1.mp4
18,Doris got two large desks_1.mp4
19,Nina kept four white tables_1.mp4
20,William ordered sixty cheap houses_1.mp4
21,Steven bought twelve cheap desks_1.mp4
22,Thomas sold sixty small rings_1.mp4
23,Nina gives twelve old sofas_1.mp4
24,Kathy sees two green toys_1.mp4
25,Thomas kept eight pretty sofas_1.mp4
26,Steven has nine red windows_1.mp4
27,Allen kept nineteen small rings_1.mp4
28,Doris got two green chairs_1.mp4
29,Nina got twelve old windows_1.mp4
30,Nina bought two large tables_1.mp4
31,Peter got twelve small spoons_1.mp4
32,Steven ordered seven dark desks_1.mp4
33,Lucy prefers fifteen heavy sofas_1.mp4
34,William sold nineteen large sofas_1.mp4
35,Kathy got seven red houses_1.mp4
36,Thomas ordered eight green sofas_1.mp4
37,Lucy wants nine white chairs_1.mp4
38,Rachel prefers twelve old spoons_1.mp4
39,Peter ordered seven old sofas_1.mp4
40,Thomas got nineteen cheap spoons_1.mp4
41,Doris prefers sixty green houses_1.mp4
42,Peter gives two old flowers_1.mp4
43,Nina wants nineteen large desks_1.mp4
44,Steven wants two old sofas_1.mp4
45,Peter bought eight pretty flowers_1.mp4
46,Kathy ordered seven cheap houses_1.mp4
47,Rachel gives four green rings_1.mp4
