,0
0,Steven gives three dark chairs_1.mp4
1,Allen bought seven pretty tables_1.mp4
2,Kathy kept eight heavy desks_1.mp4
3,William kept three small spoons_1.mp4
4,Allen prefers two heavy desks_1.mp4
5,Peter gives fifteen cheap windows_1.mp4
6,William kept three green desks_1.mp4
7,Kathy bought sixty red chairs_1.mp4
8,Lucy sold nine old chairs_1.mp4
9,Kathy wants eight dark flowers_1.mp4
10,William ordered four heavy windows_1.mp4
11,Nina gives two pretty rings_1.mp4
12,Peter ordered four white desks_1.mp4
13,Rachel sees three pretty chairs_1.mp4
14,Allen prefers four small flowers_1.mp4
15,Doris gives two large sofas_1.mp4
16,Peter got nineteen heavy windows_1.mp4
17,Thomas prefers nine cheap spoons_1.mp4
18,Steven got eight dark chairs_1.mp4
19,Kathy sees four old toys_1.mp4
20,Peter ordered twelve red windows_1.mp4
21,Peter got twelve old desks_1.mp4
22,Steven sees eight green sofas_1.mp4
23,Kathy kept two dark houses_1.mp4
24,William ordered sixty cheap toys_1.mp4
25,Allen prefers four small flowers_1.mp4
26,Lucy wants fifteen small sofas_1.mp4
27,Nina sees nineteen old chairs_1.mp4
28,Thomas ordered nine heavy sofas_1.mp4
29,Steven sold twelve large desks_1.mp4
30,Kathy kept seven green flowers_1.mp4
31,Nina prefers three red spoons_1.mp4
32,Doris got seven cheap desks_1.mp4
33,William ordered nine dark windows_1.mp4
34,Doris ordered seven red rings_1.mp4
35,Thomas gives three small houses_1.mp4
36,Rachel prefers twelve red desks_1.mp4
37,Nina has fifteen white spoons_1.mp4
38,Steven ordered seven cheap windows_1.mp4
39,Kathy kept two dark houses_1.mp4
40,Rachel wants twelve white flowers_1.mp4
41,Kathy bought three small toys_1.mp4
42,Peter prefers two heavy desks_1.mp4
43,Rachel got eight small houses_1.mp4
44,Rachel got nineteen white spoons_1.mp4
45,Doris wants twelve cheap toys_1.mp4
46,Peter has fifteen white windows_1.mp4
47,Kathy gives nineteen red spoons_1.mp4
