,Column1,Column2,Column3,Column4,Column5
0,Peter,got,twelve,large,windows
1,Doris,sold,nine,cheap,houses
2,Kathy,kept,eight,heavy,desks
3,Rachel,sold,seven,green,houses
4,Allen,prefers,two,heavy,desks
5,Lucy,got,four,pretty,sofas
6,William,kept,three,green,desks
7,Kathy,bought,sixty,red,chairs
8,Peter,kept,three,white,desks
9,Doris,has,seven,green,tables
10,William,ordered,four,heavy,windows
11,Nina,gives,two,pretty,rings
12,Peter,ordered,four,white,desks
13,Rachel,sees,three,pretty,chairs
14,Allen,prefers,four,small,flowers
15,Kathy,wants,fifteen,green,tables
16,Peter,got,nineteen,heavy,windows
17,Rachel,kept,seven,small,rings
18,Steven,got,eight,dark,chairs
19,Doris,gives,two,large,sofas
20,William,gives,twelve,red,rings
21,Allen,sold,nine,heavy,tables
22,Steven,sees,eight,green,sofas
23,Kathy,kept,two,dark,houses
24,Thomas,ordered,three,old,houses
25,Rachel,has,nineteen,white,desks
26,Allen,got,sixty,cheap,toys
27,Nina,sees,nineteen,old,chairs
28,Thomas,ordered,nine,heavy,sofas
29,Steven,sold,twelve,large,desks
30,Kathy,kept,seven,green,flowers
31,Kathy,gives,nine,green,rings
32,Thomas,sold,nine,large,desks
33,Peter,wants,nine,large,toys
34,Doris,ordered,seven,red,rings
35,Thomas,gives,three,small,houses
36,Allen,bought,nineteen,pretty,sofas
37,Doris,wants,eight,old,tables
38,Steven,ordered,seven,cheap,windows
39,Peter,gives,three,green,rings
40,Rachel,wants,twelve,white,flowers
41,Allen,wants,fifteen,large,houses
42,Peter,prefers,two,heavy,desks
43,Steven,sold,nine,green,sofas
44,Rachel,got,nineteen,white,spoons
45,Doris,wants,twelve,cheap,toys
46,Peter,has,fifteen,white,windows
47,Kathy,gives,nineteen,red,spoons
