,0
0,Peter got twelve large windows_1.mp4
1,Doris sold nine cheap houses_1.mp4
2,Lucy sold twelve cheap spoons_1.mp4
3,Rachel sold seven green houses_1.mp4
4,Doris wants eight old tables_1.mp4
5,Lucy got four pretty sofas_1.mp4
6,Thomas ordered nine dark flowers_1.mp4
7,Allen prefers two heavy desks_1.mp4
8,Peter kept three white desks_1.mp4
9,Doris has seven green tables_1.mp4
10,Allen got sixty cheap toys_1.mp4
11,Steven bought fifteen large spoons_1.mp4
12,Kathy ordered eight old sofas_1.mp4
13,Thomas has sixty dark houses_1.mp4
14,Lucy ordered twelve old desks_1.mp4
15,Kathy wants fifteen green tables_1.mp4
16,Rachel ordered twelve cheap tables_1.mp4
17,Rachel kept seven small rings_1.mp4
18,William sold three green desks_1.mp4
19,Doris gives two large sofas_1.mp4
20,William gives twelve red rings_1.mp4
21,Allen sold nine heavy tables_1.mp4
22,Thomas prefers nineteen white spoons_1.mp4
23,Rachel wants seven large chairs_1.mp4
24,Thomas ordered three old houses_1.mp4
25,Rachel has nineteen white desks_1.mp4
26,Allen got sixty cheap toys_1.mp4
27,William prefers three small houses_1.mp4
28,Rachel gives eight dark spoons_1.mp4
29,Peter has fifteen white windows_1.mp4
30,Peter sees sixty old sofas_1.mp4
31,Kathy gives nine green rings_1.mp4
32,Thomas sold nine large desks_1.mp4
33,Peter wants nine large toys_1.mp4
34,Nina sold nineteen dark windows_1.mp4
35,Kathy ordered eight old sofas_1.mp4
36,Allen bought nineteen pretty sofas_1.mp4
37,Doris wants eight old tables_1.mp4
38,Lucy got four heavy toys_1.mp4
39,Peter gives three green rings_1.mp4
40,Thomas got nine pretty sofas_1.mp4
41,Allen wants fifteen large houses_1.mp4
42,Doris ordered eight cheap rings_1.mp4
43,Steven sold nine green sofas_1.mp4
44,Peter got twelve old desks_1.mp4
45,Nina got three old houses_1.mp4
46,Steven bought nine green desks_1.mp4
47,William prefers sixty small sofas_1.mp4
