,Column1,Column2,Column3,Column4,Column5
0,Steven,sold,twelve,large,desks
1,Nina,has,eight,small,windows
2,Thomas,wants,four,pretty,rings
3,Doris,sold,nineteen,green,desks
4,Nina,sold,two,small,houses
5,Lucy,wants,twelve,white,tables
6,William,got,sixty,dark,chairs
7,Allen,gives,fifteen,old,desks
8,Kathy,ordered,fifteen,cheap,toys
9,Nina,got,two,heavy,tables
10,Peter,prefers,nineteen,dark,tables
11,Allen,gives,fifteen,cheap,flowers
12,Steven,has,four,heavy,chairs
13,Thomas,ordered,three,old,houses
14,Lucy,has,three,red,desks
15,Doris,got,four,red,toys
16,Nina,sees,nineteen,green,houses
17,Steven,kept,nine,small,spoons
18,Kathy,ordered,three,dark,desks
19,Steven,sold,twelve,large,desks
20,Peter,has,nineteen,red,spoons
21,Kathy,wants,two,pretty,sofas
22,Thomas,prefers,nine,dark,rings
23,Peter,kept,two,red,desks
24,William,wants,sixty,pretty,chairs
25,Allen,sees,four,dark,toys
26,Rachel,wants,twelve,white,sofas
27,Kathy,kept,two,dark,houses
28,Kathy,wants,eight,dark,flowers
29,Allen,has,sixty,large,windows
30,Peter,ordered,eight,green,flowers
31,Steven,kept,three,old,rings
32,Peter,gives,four,green,sofas
33,Doris,has,sixty,dark,spoons
34,Kathy,got,three,old,flowers
35,William,prefers,three,green,flowers
36,Peter,wants,two,white,chairs
37,Thomas,got,nineteen,heavy,desks
38,Doris,has,seven,green,tables
39,William,ordered,sixty,cheap,toys
40,Peter,got,eight,white,windows
41,Steven,kept,fifteen,small,sofas
42,Peter,sees,fifteen,green,chairs
43,Lucy,gives,eight,small,houses
44,Steven,sold,three,red,desks
45,Nina,wants,three,heavy,windows
46,Thomas,sold,seven,old,desks
47,Doris,ordered,eight,cheap,rings
48,Allen,bought,nineteen,pretty,sofas
49,Kathy,gives,nineteen,red,spoons
50,Rachel,kept,eight,large,sofas
51,Lucy,got,four,heavy,toys
52,Steven,gives,fifteen,white,toys
53,William,gives,nine,green,houses
54,Peter,has,four,large,toys
55,Allen,ordered,three,dark,spoons
56,Rachel,kept,seven,small,rings
57,Doris,got,nine,old,windows
58,Nina,prefers,three,red,spoons
59,Peter,got,fifteen,cheap,rings
