,Column1,Column2,Column3,Column4,Column5
0,Doris,got,eight,heavy,spoons
1,Lucy,ordered,three,cheap,chairs
2,Peter,wants,seven,cheap,windows
3,Allen,sees,fifteen,green,windows
4,Peter,sold,eight,large,sofas
5,William,ordered,sixty,cheap,toys
6,Nina,got,sixty,large,sofas
7,Lucy,prefers,three,pretty,desks
8,Thomas,sees,three,cheap,rings
9,Thomas,ordered,seven,old,desks
10,Lucy,wants,two,red,sofas
11,William,gives,nine,cheap,flowers
12,Thomas,ordered,fifteen,red,houses
13,Allen,ordered,twelve,heavy,rings
14,Kathy,kept,fifteen,large,tables
15,Nina,sees,seven,small,sofas
16,Steven,sees,four,dark,spoons
17,Allen,bought,three,white,tables
18,Peter,wants,nine,large,toys
19,Thomas,wants,nineteen,red,windows
20,Nina,ordered,sixty,heavy,tables
21,Rachel,gives,fifteen,small,desks
22,Rachel,got,eight,small,spoons
23,Peter,prefers,two,small,flowers
24,Rachel,kept,sixty,large,desks
25,Lucy,has,nineteen,dark,desks
26,William,ordered,four,heavy,windows
27,Thomas,bought,sixty,white,spoons
28,Lucy,got,twelve,pretty,toys
29,Peter,has,seven,pretty,desks
30,Allen,has,nineteen,large,spoons
31,Thomas,sees,eight,green,rings
32,Thomas,kept,eight,pretty,sofas
33,Peter,bought,nineteen,cheap,houses
34,Allen,bought,nineteen,large,chairs
35,Doris,bought,eight,cheap,houses
36,Allen,sees,nine,large,chairs
37,Steven,got,seven,green,flowers
38,Peter,ordered,twelve,red,windows
39,Kathy,kept,twelve,old,chairs
40,Nina,wants,nineteen,large,desks
41,Thomas,sold,nine,cheap,tables
42,Steven,bought,nine,green,desks
43,Nina,got,twelve,white,toys
44,Kathy,has,four,small,windows
45,Steven,has,four,red,toys
46,Thomas,has,three,large,desks
47,Kathy,prefers,eight,red,spoons
