,0
0,mismatch left
1,match left
2,match left
3,match left
4,match left
5,match left
6,match left
7,match right
8,match right
9,match left
10,match right
11,match right
12,match left
13,mismatch left
14,mismatch right
15,mismatch left
16,mismatch left
17,match right
18,mismatch right
19,mismatch right
20,mismatch left
21,match right
22,match right
23,match left
24,mismatch right
25,match left
26,mismatch right
27,mismatch right
28,match right
29,mismatch right
30,mismatch left
31,mismatch right
32,mismatch left
33,mismatch left
34,mismatch right
35,mismatch left
36,match right
37,mismatch right
38,match left
39,mismatch right
40,mismatch left
41,match right
42,match left
43,mismatch left
44,mismatch left
45,mismatch right
46,match right
47,match right
