,0
0,Kathy kept twelve old chairs_1.mp4
1,Lucy ordered three cheap chairs_1.mp4
2,Peter wants seven cheap windows_1.mp4
3,Allen sees fifteen green windows_1.mp4
4,Lucy has twelve red spoons_1.mp4
5,Nina prefers nineteen small houses_1.mp4
6,Nina got sixty large sofas_1.mp4
7,Lucy prefers three pretty desks_1.mp4
8,Thomas sees three cheap rings_1.mp4
9,Thomas ordered seven old desks_1.mp4
10,Lucy wants two red sofas_1.mp4
11,William gives nine cheap flowers_1.mp4
12,Peter prefers two small flowers_1.mp4
13,William kept two small chairs_1.mp4
14,Kathy kept fifteen large tables_1.mp4
15,Nina sees seven small sofas_1.mp4
16,Doris wants fifteen pretty houses_1.mp4
17,Allen bought three white tables_1.mp4
18,Allen has nineteen old tables_1.mp4
19,Thomas wants nineteen red windows_1.mp4
20,Nina ordered sixty heavy tables_1.mp4
21,Doris kept three large tables_1.mp4
22,Peter sees three large rings_1.mp4
23,Peter prefers two small flowers_1.mp4
24,Peter sold three small tables_1.mp4
25,William wants three large spoons_1.mp4
26,Allen has three green rings_1.mp4
27,Peter got twelve large chairs_1.mp4
28,Lucy got twelve pretty toys_1.mp4
29,William ordered nineteen green toys_1.mp4
30,Lucy got four white toys_1.mp4
31,Peter gives two old flowers_1.mp4
32,Thomas kept eight pretty sofas_1.mp4
33,Kathy got twelve white windows_1.mp4
34,Thomas ordered eight green sofas_1.mp4
35,Kathy kept seven heavy desks_1.mp4
36,Kathy got twelve white windows_1.mp4
37,Kathy ordered four white windows_1.mp4
38,William kept two small chairs_1.mp4
39,Kathy kept twelve old chairs_1.mp4
40,Nina wants nineteen large desks_1.mp4
41,Thomas sold nine cheap tables_1.mp4
42,Lucy sees seven heavy chairs_1.mp4
43,Allen sold sixty large spoons_1.mp4
44,Kathy has four small windows_1.mp4
45,Steven has four red toys_1.mp4
46,Steven sees seven pretty chairs_1.mp4
47,Kathy prefers eight red spoons_1.mp4
