,0
0,mismatch right
1,match right
2,mismatch right
3,mismatch left
4,mismatch right
5,match left
6,match right
7,match right
8,mismatch right
9,match left
10,mismatch left
11,match right
12,mismatch left
13,match left
14,mismatch left
15,match left
16,mismatch right
17,match right
18,match right
19,mismatch left
20,match left
21,match right
22,match left
23,mismatch left
24,mismatch left
25,mismatch right
26,match right
27,mismatch right
28,match left
29,mismatch left
30,mismatch right
31,match left
32,mismatch left
33,match left
34,match left
35,mismatch left
36,match right
37,match left
38,match right
39,mismatch right
40,mismatch right
41,mismatch left
42,match right
43,mismatch right
44,match right
45,mismatch left
46,mismatch right
47,match left
