,Column1,Column2,Column3,Column4,Column5
0,Rachel,prefers,four,white,toys
1,Kathy,gives,fifteen,green,flowers
2,Kathy,got,seven,dark,spoons
3,Rachel,sold,seven,green,houses
4,William,prefers,sixty,pretty,flowers
5,Lucy,got,four,heavy,toys
6,Kathy,gives,three,dark,flowers
7,Nina,prefers,seven,large,sofas
8,Nina,got,three,dark,sofas
9,Lucy,has,four,white,chairs
10,Rachel,kept,seven,small,rings
11,Steven,has,nineteen,white,windows
12,Thomas,ordered,fifteen,red,houses
13,Nina,wants,three,heavy,windows
14,Allen,prefers,two,heavy,desks
15,Lucy,sold,fifteen,cheap,spoons
16,Doris,kept,three,large,tables
17,Kathy,ordered,seven,cheap,houses
18,Allen,wants,seven,pretty,windows
19,Lucy,has,four,old,flowers
20,Peter,got,nineteen,heavy,windows
21,Doris,kept,four,small,chairs
22,Allen,ordered,twelve,large,desks
23,Thomas,has,sixty,dark,houses
24,Kathy,bought,fifteen,large,toys
25,Allen,prefers,three,red,sofas
26,Nina,gives,four,large,windows
27,Peter,ordered,two,white,windows
28,Doris,got,seven,cheap,desks
29,Rachel,prefers,two,old,toys
30,Doris,sold,sixty,cheap,desks
31,Thomas,prefers,three,white,desks
32,Lucy,got,four,pretty,sofas
33,Doris,got,three,old,toys
34,Steven,bought,four,small,tables
35,Rachel,got,three,heavy,sofas
36,Nina,wants,eight,pretty,rings
37,Peter,prefers,four,large,rings
38,Nina,has,seven,old,sofas
39,Doris,got,eight,cheap,toys
40,Lucy,wants,two,red,sofas
41,Peter,has,two,cheap,windows
42,Nina,ordered,sixty,heavy,tables
43,Nina,ordered,four,large,spoons
44,Allen,sees,four,cheap,tables
45,Peter,bought,sixty,pretty,desks
46,Rachel,sold,twelve,large,spoons
47,William,has,seven,white,tables
