,0
0,Rachel has nineteen white desks_1.mp4
1,Doris ordered seven red rings_1.mp4
2,Thomas wants three cheap spoons_1.mp4
3,Allen sold sixty pretty chairs_1.mp4
4,Nina wants nine cheap flowers_1.mp4
5,Doris got three old toys_1.mp4
6,Allen got three green chairs_1.mp4
7,William ordered four heavy windows_1.mp4
8,Thomas gives three white windows_1.mp4
9,Peter wants two white chairs_1.mp4
10,William ordered four heavy windows_1.mp4
11,Kathy gives nine green rings_1.mp4
12,Rachel prefers twelve red desks_1.mp4
13,Nina prefers four red windows_1.mp4
14,Peter bought four large windows_1.mp4
15,Rachel sees three large spoons_1.mp4
16,Lucy got fifteen cheap chairs_1.mp4
17,Thomas prefers eight cheap toys_1.mp4
18,Steven sold nine green sofas_1.mp4
19,Thomas prefers nineteen white spoons_1.mp4
20,Peter ordered four red toys_1.mp4
21,Kathy kept two dark houses_1.mp4
22,Rachel kept nine dark desks_1.mp4
23,William prefers sixty small sofas_1.mp4
24,William kept three green desks_1.mp4
25,Nina ordered nine white houses_1.mp4
26,Steven prefers three pretty desks_1.mp4
27,Thomas has two pretty flowers_1.mp4
28,Rachel got three green houses_1.mp4
29,Lucy prefers twelve large sofas_1.mp4
30,Nina has fifteen white spoons_1.mp4
31,Peter kept sixty pretty toys_1.mp4
32,Thomas sees fifteen cheap windows_1.mp4
33,Lucy gives eight cheap toys_1.mp4
34,Thomas prefers nineteen white spoons_1.mp4
35,Nina sold twelve old windows_1.mp4
36,Steven has four heavy chairs_1.mp4
37,Nina kept twelve pretty tables_1.mp4
38,Kathy kept two dark houses_1.mp4
39,Thomas sold fifteen white spoons_1.mp4
40,Rachel sees three pretty chairs_1.mp4
41,William ordered twelve cheap rings_1.mp4
42,Peter got sixty small chairs_1.mp4
43,Allen gives fifteen old desks_1.mp4
44,Kathy has eight red flowers_1.mp4
45,Doris gives two large sofas_1.mp4
46,Rachel got three heavy sofas_1.mp4
47,Lucy ordered four cheap chairs_1.mp4
