,Column1,Column2,Column3,Column4,Column5
0,Kathy,gives,three,small,desks
1,Nina,sees,four,large,tables
2,Thomas,has,sixty,cheap,houses
3,Doris,sold,twelve,old,sofas
4,Peter,has,four,green,windows
5,Rachel,prefers,three,pretty,spoons
6,Doris,gives,twelve,large,houses
7,Lucy,got,fifteen,small,flowers
8,Doris,gives,twelve,large,houses
9,Peter,has,four,large,toys
10,William,sees,nineteen,white,flowers
11,Doris,kept,three,green,tables
12,Nina,gives,two,pretty,rings
13,Doris,kept,three,green,tables
14,Allen,wants,seven,pretty,windows
15,William,has,nineteen,white,desks
16,Thomas,gives,sixty,green,tables
17,Doris,bought,eight,cheap,chairs
18,Doris,bought,eight,cheap,chairs
19,Rachel,sold,twelve,large,spoons
20,Peter,wants,three,small,tables
21,Kathy,has,four,small,windows
22,Doris,got,eight,large,rings
23,Allen,bought,seven,green,desks
24,Thomas,ordered,three,old,houses
25,Steven,kept,two,red,chairs
26,Nina,prefers,fifteen,large,rings
27,Doris,wants,twelve,cheap,toys
28,Peter,sold,four,red,flowers
29,William,gives,nineteen,small,sofas
30,Peter,gives,eight,red,houses
31,Peter,ordered,eight,white,toys
32,Rachel,bought,sixty,red,spoons
33,Doris,has,four,old,sofas
34,Steven,wants,fifteen,heavy,tables
35,Nina,sold,two,small,houses
36,Thomas,prefers,eight,cheap,toys
37,Nina,kept,four,large,tables
38,Doris,sold,nineteen,green,desks
39,William,sees,nineteen,white,flowers
40,William,sees,nineteen,white,flowers
41,Thomas,got,sixty,cheap,desks
42,Peter,got,four,green,desks
43,William,bought,two,heavy,windows
44,Nina,got,sixty,large,sofas
45,Peter,sees,twelve,cheap,spoons
46,Allen,prefers,four,small,flowers
47,Lucy,prefers,nineteen,large,desks
