,0
0,Thomas got three dark windows_1.mp4
1,Kathy ordered two green desks_1.mp4
2,Peter sold fifteen cheap chairs_1.mp4
3,Rachel wants twelve white sofas_1.mp4
4,Steven sold nine pretty windows_1.mp4
5,Nina wants three heavy flowers_1.mp4
6,Kathy bought sixty red chairs_1.mp4
7,Doris kept nineteen cheap spoons_1.mp4
8,William prefers three small houses_1.mp4
9,Steven got three large chairs_1.mp4
10,Nina ordered nine white houses_1.mp4
11,Peter wants fifteen dark desks_1.mp4
12,Lucy has two small flowers_1.mp4
13,Steven ordered two dark spoons_1.mp4
14,Peter sees sixty old sofas_1.mp4
15,Lucy got seven large rings_1.mp4
16,Thomas gives twelve heavy toys_1.mp4
17,Kathy ordered three cheap spoons_1.mp4
18,Allen sees four green houses_1.mp4
19,Nina wants two small chairs_1.mp4
20,Rachel has twelve old tables_1.mp4
21,Nina sold sixty large rings_1.mp4
22,William prefers three green flowers_1.mp4
23,Kathy gives nine old chairs_1.mp4
24,William prefers three green flowers_1.mp4
25,Rachel kept eight large sofas_1.mp4
26,Nina kept four large tables_1.mp4
27,Peter gives sixty pretty rings_1.mp4
28,Allen got three green chairs_1.mp4
29,Thomas has three white desks_1.mp4
30,Kathy gives nine green rings_1.mp4
31,Allen sees three small rings_1.mp4
32,Allen bought seven pretty tables_1.mp4
33,Rachel wants fifteen red windows_1.mp4
34,Doris has three dark desks_1.mp4
35,William prefers sixty small sofas_1.mp4
36,Doris ordered two cheap sofas_1.mp4
37,Nina got two heavy tables_1.mp4
38,William sees sixty cheap chairs_1.mp4
39,Peter sold twelve small flowers_1.mp4
40,Kathy wants fifteen green windows_1.mp4
41,Thomas bought three large rings_1.mp4
42,Allen kept twelve white tables_1.mp4
43,Thomas kept two small spoons_1.mp4
44,Lucy has nineteen dark desks_1.mp4
45,Kathy wants fifteen green tables_1.mp4
46,Allen sees nine large chairs_1.mp4
47,Steven kept nine small spoons_1.mp4
48,Nina sold sixty large rings_1.mp4
49,Doris has four old sofas_1.mp4
50,Allen sees fifteen red tables_1.mp4
51,Peter got twelve large toys_1.mp4
52,Allen wants nineteen white desks_1.mp4
53,Lucy kept two green chairs_1.mp4
54,Rachel gives eight dark spoons_1.mp4
55,Doris sold nine cheap houses_1.mp4
56,Thomas prefers nineteen white toys_1.mp4
57,Rachel kept seven small rings_1.mp4
58,Allen sees twelve large chairs_1.mp4
59,Doris wants eight old tables_1.mp4
