,Column1,Column2,Column3,Column4,Column5
0,Allen,kept,seven,red,houses
1,Kathy,ordered,two,green,desks
2,Peter,sold,fifteen,cheap,chairs
3,Peter,prefers,four,green,desks
4,Peter,gives,fifteen,large,tables
5,Nina,wants,three,heavy,flowers
6,Lucy,has,two,white,desks
7,Allen,prefers,four,small,sofas
8,Thomas,sees,seven,green,houses
9,Kathy,has,fifteen,heavy,desks
10,Peter,wants,nineteen,red,windows
11,Lucy,sees,eight,pretty,sofas
12,Lucy,has,two,small,flowers
13,Doris,sold,sixty,green,spoons
14,Peter,sees,sixty,old,sofas
15,Steven,kept,fifteen,small,sofas
16,Rachel,bought,eight,dark,windows
17,William,wants,sixty,pretty,chairs
18,Kathy,bought,three,small,toys
19,Peter,has,fifteen,white,windows
20,Rachel,has,twelve,old,tables
21,Nina,sold,sixty,large,rings
22,William,prefers,three,green,flowers
23,Kathy,gives,nine,old,chairs
24,William,prefers,three,green,flowers
25,Rachel,kept,eight,large,sofas
26,Thomas,has,twelve,heavy,sofas
27,Peter,gives,sixty,pretty,rings
28,Allen,got,three,green,chairs
29,Thomas,has,three,white,desks
30,Kathy,gives,nine,green,rings
31,Peter,got,sixty,red,spoons
32,Steven,has,four,heavy,chairs
33,Lucy,ordered,four,cheap,chairs
34,Doris,has,three,dark,desks
35,William,prefers,sixty,small,sofas
36,Doris,ordered,two,cheap,sofas
37,Lucy,wants,fifteen,small,sofas
38,William,sees,sixty,cheap,chairs
39,Peter,sold,twelve,small,flowers
40,Kathy,wants,fifteen,green,windows
41,Nina,has,two,heavy,tables
42,Allen,kept,twelve,white,tables
43,Thomas,kept,two,small,spoons
44,Lucy,has,nineteen,dark,desks
45,Kathy,wants,fifteen,green,tables
46,Allen,sees,nine,large,chairs
47,Thomas,wants,seven,green,toys
48,Peter,got,three,pretty,flowers
49,Doris,has,four,old,sofas
50,Peter,ordered,twelve,large,toys
51,Thomas,sees,fifteen,cheap,windows
52,Allen,wants,nineteen,white,desks
53,Lucy,kept,two,green,chairs
54,Nina,ordered,nine,white,houses
55,Kathy,got,sixty,pretty,desks
56,Thomas,prefers,nineteen,white,toys
57,Nina,has,eight,green,spoons
58,Allen,sees,twelve,large,chairs
59,Rachel,got,three,green,houses
