,0
0,Thomas gives sixty green tables_1.mp4
1,Peter has four large toys_1.mp4
2,Rachel sees nine pretty desks_1.mp4
3,Thomas has four pretty rings_1.mp4
4,Kathy gives three small desks_1.mp4
5,Peter got twelve large windows_1.mp4
6,Steven has four heavy chairs_1.mp4
7,Steven prefers two old rings_1.mp4
8,Peter got three green desks_1.mp4
9,Thomas has twelve heavy sofas_1.mp4
10,Peter got nine dark spoons_1.mp4
11,William kept two red windows_1.mp4
12,Rachel sold seven old tables_1.mp4
13,Allen sold sixty pretty chairs_1.mp4
14,Doris wants eight old tables_1.mp4
15,Thomas has three large desks_1.mp4
16,Allen kept nine large tables_1.mp4
17,Steven ordered seven small houses_1.mp4
18,Doris has four old sofas_1.mp4
19,Kathy sees seven heavy houses_1.mp4
20,Doris sees sixty pretty desks_1.mp4
21,Peter gives eight large desks_1.mp4
22,Lucy has three red desks_1.mp4
23,Allen kept nine large tables_1.mp4
24,Lucy got four heavy toys_1.mp4
25,Thomas prefers nineteen white spoons_1.mp4
26,Steven sold eight cheap houses_1.mp4
27,Peter has twelve old flowers_1.mp4
28,Allen prefers four heavy flowers_1.mp4
29,Kathy wants fifteen green windows_1.mp4
30,Doris sees twelve red toys_1.mp4
31,Lucy kept two old rings_1.mp4
32,Steven bought nine green desks_1.mp4
33,Thomas wants three cheap spoons_1.mp4
34,Rachel sold seven old tables_1.mp4
35,Steven gives nine red desks_1.mp4
36,Lucy wants three cheap flowers_1.mp4
37,Lucy got four heavy toys_1.mp4
38,Peter got twelve old desks_1.mp4
39,Lucy sold twelve cheap spoons_1.mp4
40,Peter ordered two dark tables_1.mp4
41,Kathy sees seven heavy houses_1.mp4
42,Kathy bought three red toys_1.mp4
43,Peter got twelve old desks_1.mp4
44,Peter prefers nineteen dark tables_1.mp4
45,Kathy wants two pretty sofas_1.mp4
46,Peter sees fifteen green chairs_1.mp4
47,Rachel kept seven small rings_1.mp4
