,Column1,Column2,Column3,Column4,Column5
0,Doris,sold,seven,dark,windows
1,Kathy,prefers,eight,heavy,houses
2,William,kept,two,small,chairs
3,Thomas,has,four,pretty,rings
4,Allen,kept,nineteen,heavy,toys
5,Steven,sees,seven,pretty,spoons
6,Steven,has,four,heavy,chairs
7,Steven,prefers,two,old,rings
8,Peter,got,three,green,desks
9,Thomas,wants,three,small,rings
10,Peter,got,nine,dark,spoons
11,Steven,ordered,three,cheap,tables
12,Kathy,got,twelve,white,windows
13,Allen,sold,sixty,pretty,chairs
14,Nina,prefers,nineteen,small,houses
15,Thomas,has,three,large,desks
16,Allen,kept,nine,large,tables
17,Steven,ordered,seven,small,houses
18,Doris,has,four,old,sofas
19,Thomas,prefers,fifteen,pretty,rings
20,William,gives,twelve,heavy,flowers
21,Peter,gives,eight,large,desks
22,Lucy,has,three,red,desks
23,Allen,kept,nine,large,tables
24,Rachel,sees,nine,green,windows
25,Doris,kept,three,large,tables
26,William,bought,sixty,red,desks
27,Kathy,kept,twelve,old,chairs
28,William,ordered,sixty,cheap,houses
29,Peter,got,three,dark,spoons
30,Thomas,gives,eight,large,tables
31,Steven,sold,nine,small,desks
32,Nina,ordered,four,large,spoons
33,Thomas,wants,three,cheap,spoons
34,Rachel,sold,seven,old,tables
35,Peter,prefers,eight,heavy,windows
36,Allen,ordered,fifteen,white,chairs
37,Lucy,got,four,heavy,toys
38,Rachel,sees,seven,heavy,chairs
39,Thomas,gives,nineteen,small,chairs
40,Allen,kept,three,old,flowers
41,Kathy,sees,seven,heavy,houses
42,Nina,wants,eight,pretty,rings
43,Peter,got,twelve,old,desks
44,Peter,prefers,nineteen,dark,tables
45,Kathy,wants,two,pretty,sofas
46,William,got,twelve,large,spoons
47,Rachel,kept,seven,small,rings
