,Column1,Column2,Column3,Column4,Column5
0,William,ordered,sixty,cheap,toys
1,Rachel,sold,three,pretty,rings
2,Lucy,gives,eight,white,desks
3,Steven,sees,nineteen,dark,sofas
4,Nina,prefers,twelve,large,houses
5,Thomas,has,three,white,desks
6,Doris,sold,eight,pretty,spoons
7,Rachel,got,two,red,toys
8,Steven,wants,fifteen,heavy,tables
9,Lucy,ordered,seven,large,desks
10,Peter,got,twelve,small,spoons
11,Kathy,bought,nine,white,rings
12,Doris,got,seven,cheap,desks
13,Rachel,wants,twelve,large,flowers
14,Steven,sold,nine,green,sofas
15,Kathy,prefers,eight,red,spoons
16,William,sees,sixty,cheap,chairs
17,William,has,three,small,sofas
18,Kathy,ordered,fifteen,cheap,toys
19,Peter,bought,nineteen,pretty,rings
20,Rachel,sold,seven,green,houses
21,Rachel,got,three,small,sofas
22,Allen,wants,three,pretty,chairs
23,Thomas,ordered,eight,white,houses
24,Peter,gives,fifteen,large,tables
25,Steven,bought,twelve,cheap,desks
26,Doris,sees,two,heavy,sofas
27,Lucy,got,twelve,pretty,toys
28,William,has,seven,cheap,sofas
29,Kathy,sold,twelve,green,chairs
30,Rachel,prefers,fifteen,large,houses
31,Thomas,prefers,nineteen,white,spoons
32,Thomas,got,fifteen,large,chairs
33,Peter,got,nine,green,sofas
34,Lucy,has,two,small,flowers
35,William,wants,sixty,pretty,chairs
36,Lucy,has,four,old,flowers
37,Allen,got,nineteen,heavy,toys
38,Rachel,sees,fifteen,old,flowers
39,Lucy,sold,nine,large,spoons
40,William,got,sixty,dark,chairs
41,Doris,bought,seven,small,windows
42,Nina,sees,nineteen,old,chairs
43,Thomas,gives,three,white,windows
44,William,ordered,two,red,sofas
45,Doris,got,eight,large,rings
46,Steven,wants,sixty,green,flowers
47,Thomas,wants,four,pretty,rings
