,0
0,match left
1,match right
2,match left
3,mismatch right
4,mismatch left
5,match left
6,match right
7,mismatch left
8,match right
9,mismatch left
10,mismatch right
11,mismatch right
12,mismatch left
13,mismatch right
14,match right
15,match right
16,match left
17,match right
18,match left
19,mismatch left
20,match right
21,mismatch left
22,mismatch left
23,mismatch left
24,match left
25,match right
26,match left
27,match right
28,mismatch left
29,match left
30,mismatch right
31,mismatch left
32,mismatch right
33,mismatch right
34,match left
35,match right
36,mismatch right
37,mismatch right
38,match left
39,mismatch right
40,mismatch right
41,match right
42,mismatch left
43,mismatch right
44,mismatch left
45,match left
46,match left
47,match right
