,0
0,William prefers sixty pretty flowers_1.mp4
1,William bought two pretty houses_1.mp4
2,Nina bought three large spoons_1.mp4
3,Peter ordered nineteen old toys_1.mp4
4,William kept sixty heavy rings_1.mp4
5,Rachel has twelve red sofas_1.mp4
6,Doris wants two dark tables_1.mp4
7,Kathy prefers four small rings_1.mp4
8,Steven gives four dark desks_1.mp4
9,Rachel got nineteen large desks_1.mp4
10,Lucy sees twelve green houses_1.mp4
11,Thomas kept two red windows_1.mp4
12,Thomas wants eight red tables_1.mp4
13,Steven prefers eight red chairs_1.mp4
14,Rachel sold twelve large spoons_1.mp4
15,Lucy ordered two cheap flowers_1.mp4
16,Kathy got seven red tables_1.mp4
17,Kathy kept three large toys_1.mp4
18,Peter prefers three large chairs_1.mp4
19,Steven got nine old flowers_1.mp4
20,Steven wants twelve white desks_1.mp4
21,Kathy prefers eight red tables_1.mp4
22,Nina sold nineteen heavy rings_1.mp4
23,Allen bought nine pretty sofas_1.mp4
24,Nina gives four large windows_1.mp4
25,Rachel sold three large spoons_1.mp4
26,Nina gives two cheap rings_1.mp4
27,Kathy ordered four cheap spoons_1.mp4
28,William wants nine dark chairs_1.mp4
29,Thomas ordered three pretty houses_1.mp4
30,Kathy gives fifteen green flowers_1.mp4
31,Steven kept two cheap windows_1.mp4
32,Thomas ordered seven dark desks_1.mp4
33,Allen has fifteen old sofas_1.mp4
34,Doris got two green chairs_1.mp4
35,Allen wants seven pretty windows_1.mp4
36,Lucy gives four large toys_1.mp4
37,Kathy sold fifteen dark spoons_1.mp4
38,Thomas sees three cheap rings_1.mp4
39,Nina bought nineteen white houses_1.mp4
40,Thomas got fifteen large chairs_1.mp4
41,William kept sixty heavy rings_1.mp4
42,Rachel has four small desks_1.mp4
43,Kathy ordered three dark chairs_1.mp4
44,Lucy gives nineteen pretty houses_1.mp4
45,Peter wants nine green flowers_1.mp4
46,Steven bought eight large sofas_1.mp4
47,Peter sold eight old spoons_1.mp4
