,0
0,Nina sees nineteen old chairs_1.mp4
1,Allen prefers four heavy flowers_1.mp4
2,Doris bought eight cheap houses_1.mp4
3,Steven kept nine small spoons_1.mp4
4,William prefers two small desks_1.mp4
5,Doris ordered seven red rings_1.mp4
6,Kathy gives eight large spoons_1.mp4
7,Peter bought three cheap rings_1.mp4
8,Rachel kept sixty large desks_1.mp4
9,Nina has fifteen white spoons_1.mp4
10,Steven sold nine pretty windows_1.mp4
11,Rachel got sixty pretty flowers_1.mp4
12,Doris sees fifteen large sofas_1.mp4
13,Kathy gives nine green rings_1.mp4
14,Steven bought four small tables_1.mp4
15,Nina ordered sixty heavy sofas_1.mp4
16,William prefers three green flowers_1.mp4
17,Steven has four heavy chairs_1.mp4
18,Lucy has nineteen white chairs_1.mp4
19,Thomas sees eight green rings_1.mp4
20,Kathy wants eight dark flowers_1.mp4
21,Steven got twelve pretty windows_1.mp4
22,Lucy has four white chairs_1.mp4
23,Doris has sixty dark spoons_1.mp4
24,Rachel prefers three pretty spoons_1.mp4
25,Nina has two heavy tables_1.mp4
26,William wants sixty pretty chairs_1.mp4
27,Thomas bought three large rings_1.mp4
28,Allen kept seven red houses_1.mp4
29,Nina has fifteen white spoons_1.mp4
30,Allen wants two white flowers_1.mp4
31,Peter ordered eight heavy desks_1.mp4
32,Peter has fifteen white windows_1.mp4
33,Allen wants two white flowers_1.mp4
34,Kathy ordered fifteen cheap toys_1.mp4
35,Nina sold four heavy rings_1.mp4
36,Rachel gives eight dark spoons_1.mp4
37,Steven kept fifteen small sofas_1.mp4
38,Lucy gives fifteen white sofas_1.mp4
39,Peter got four green desks_1.mp4
40,Peter ordered eight white toys_1.mp4
41,William prefers three green flowers_1.mp4
42,Thomas ordered two dark desks_1.mp4
43,Peter has two cheap windows_1.mp4
44,Steven sold twelve large desks_1.mp4
45,Lucy got four heavy toys_1.mp4
46,Nina prefers three red spoons_1.mp4
47,Steven bought nine heavy toys_1.mp4
48,Kathy kept seven green flowers_1.mp4
49,Thomas got nineteen heavy desks_1.mp4
50,Nina wants two small chairs_1.mp4
51,Steven ordered twelve dark sofas_1.mp4
52,William gives three cheap windows_1.mp4
53,Peter gives twelve small desks_1.mp4
54,Rachel prefers fifteen large houses_1.mp4
55,Nina prefers four red windows_1.mp4
56,William ordered sixty cheap toys_1.mp4
57,Rachel wants twelve white sofas_1.mp4
58,Steven prefers four large houses_1.mp4
59,Allen sees fifteen red tables_1.mp4
