,0
0,match left
1,mismatch left
2,mismatch right
3,match right
4,mismatch left
5,match left
6,mismatch left
7,match right
8,mismatch left
9,match left
10,match right
11,mismatch right
12,match right
13,match right
14,mismatch left
15,match right
16,match right
17,match left
18,match right
19,match left
20,mismatch left
21,match left
22,mismatch right
23,mismatch right
24,match left
25,match left
26,mismatch right
27,match left
28,match right
29,mismatch left
30,mismatch right
31,mismatch right
32,mismatch right
33,match left
34,mismatch right
35,mismatch left
36,match left
37,match right
38,mismatch left
39,mismatch right
40,mismatch left
41,match left
42,mismatch left
43,match right
44,mismatch right
45,mismatch right
46,mismatch left
47,match right
