,0
0,Steven prefers three pretty desks_1.mp4
1,Peter sold four heavy windows_1.mp4
2,Lucy gives eight small houses_1.mp4
3,Rachel wants twelve white flowers_1.mp4
4,Doris kept seven large sofas_1.mp4
5,Doris got fifteen cheap desks_1.mp4
6,Lucy has seven green toys_1.mp4
7,Peter ordered two dark tables_1.mp4
8,Thomas sees twelve large chairs_1.mp4
9,Thomas ordered two dark desks_1.mp4
10,Kathy bought fifteen large toys_1.mp4
11,Peter has seven white flowers_1.mp4
12,Lucy gives fifteen white sofas_1.mp4
13,Peter sees three red flowers_1.mp4
14,Steven sold nine pretty windows_1.mp4
15,Allen wants two white flowers_1.mp4
16,Doris got eight heavy spoons_1.mp4
17,Thomas got eight red windows_1.mp4
18,Kathy sees four old toys_1.mp4
19,Allen prefers two old desks_1.mp4
20,Peter wants three small tables_1.mp4
21,Kathy sees seven heavy houses_1.mp4
22,Rachel bought eight dark windows_1.mp4
23,Peter got nine green sofas_1.mp4
24,Thomas ordered three old houses_1.mp4
25,Thomas sold two old chairs_1.mp4
26,Peter bought fifteen green rings_1.mp4
27,William ordered two old desks_1.mp4
28,Thomas gives three white windows_1.mp4
29,Rachel wants seven large chairs_1.mp4
30,Nina sees nineteen green houses_1.mp4
31,William ordered three old desks_1.mp4
32,Nina got two heavy tables_1.mp4
33,Peter has nineteen red spoons_1.mp4
34,William prefers three green flowers_1.mp4
35,Nina kept four large tables_1.mp4
36,Rachel kept sixty large desks_1.mp4
37,Doris ordered three red chairs_1.mp4
38,Thomas got twelve heavy windows_1.mp4
39,Allen gives fifteen cheap flowers_1.mp4
40,Allen prefers four small flowers_1.mp4
41,Thomas has sixty dark houses_1.mp4
42,Doris sees twelve red toys_1.mp4
43,Nina sold nine heavy desks_1.mp4
44,Peter got twelve large toys_1.mp4
45,Lucy has seven green toys_1.mp4
46,William gives nineteen dark rings_1.mp4
47,Peter bought sixty pretty desks_1.mp4
