,0
0,Kathy sees four old toys_1.mp4
1,Steven wants fifteen heavy tables_1.mp4
2,Kathy gives eight large spoons_1.mp4
3,Peter sees seven large desks_1.mp4
4,Allen got three green chairs_1.mp4
5,Steven prefers four large houses_1.mp4
6,Allen kept nine large tables_1.mp4
7,Peter sees sixty old sofas_1.mp4
8,Lucy has seven green toys_1.mp4
9,Steven sold nine pretty windows_1.mp4
10,Allen got sixty old desks_1.mp4
11,Lucy got four heavy toys_1.mp4
12,Peter has twelve old flowers_1.mp4
13,Thomas got twelve dark houses_1.mp4
14,Allen ordered twelve heavy rings_1.mp4
15,Nina sold nine heavy desks_1.mp4
16,Doris ordered three red chairs_1.mp4
17,Nina has two heavy tables_1.mp4
18,Nina sold four heavy rings_1.mp4
19,Rachel got eight small spoons_1.mp4
20,Steven sold three red desks_1.mp4
21,Peter gives fifteen cheap windows_1.mp4
22,Steven gives nine red desks_1.mp4
23,Kathy gives nine old chairs_1.mp4
24,Nina got twelve white toys_1.mp4
25,Steven got eight dark chairs_1.mp4
26,Lucy wants three cheap flowers_1.mp4
27,Allen sees three small rings_1.mp4
28,Rachel wants fifteen red windows_1.mp4
29,Steven got three small tables_1.mp4
30,William got three pretty desks_1.mp4
31,Allen kept nine large tables_1.mp4
32,Thomas got twelve heavy windows_1.mp4
33,William sees eight large flowers_1.mp4
34,Steven kept nine small spoons_1.mp4
35,Peter sold sixty white desks_1.mp4
36,Allen ordered twelve large desks_1.mp4
37,Peter gives sixty pretty rings_1.mp4
38,Doris got fifteen cheap desks_1.mp4
39,Peter ordered four white desks_1.mp4
40,Rachel got four heavy spoons_1.mp4
41,Allen got sixty old desks_1.mp4
42,Kathy wants sixty old toys_1.mp4
43,Rachel sees three pretty chairs_1.mp4
44,William kept three small spoons_1.mp4
45,William bought two heavy windows_1.mp4
46,Thomas got seven large desks_1.mp4
47,Peter kept three large chairs_1.mp4
