,Column1,Column2,Column3,Column4,Column5
0,Nina,kept,four,pretty,houses
1,Peter,wants,three,green,spoons
2,Steven,bought,nine,heavy,toys
3,Thomas,sold,fifteen,white,spoons
4,Kathy,got,three,old,flowers
5,Peter,got,fifteen,small,desks
6,Rachel,bought,eight,dark,windows
7,Allen,sees,four,green,houses
8,Steven,prefers,seven,pretty,sofas
9,Steven,ordered,seven,small,houses
10,Peter,sees,seven,large,desks
11,Thomas,prefers,nineteen,white,toys
12,Lucy,sold,fifteen,cheap,spoons
13,Steven,ordered,twelve,dark,sofas
14,William,ordered,two,old,desks
15,Nina,got,three,old,houses
16,Peter,sold,sixty,white,desks
17,Peter,ordered,three,white,houses
18,Allen,bought,nineteen,large,chairs
19,Thomas,gives,twelve,heavy,toys
20,William,has,nine,small,flowers
21,Thomas,prefers,eight,cheap,toys
22,Steven,gives,fifteen,white,toys
23,Thomas,got,nine,pretty,sofas
24,Allen,ordered,twelve,heavy,rings
25,Nina,sold,twelve,old,windows
26,Lucy,got,four,heavy,toys
27,Peter,gives,three,green,rings
28,Kathy,wants,eight,dark,flowers
29,Allen,sold,seven,old,spoons
30,Nina,sold,four,heavy,rings
31,Rachel,bought,eight,dark,windows
32,Doris,prefers,three,red,tables
33,William,gives,nine,green,houses
34,William,ordered,sixty,cheap,toys
35,Doris,got,seven,cheap,desks
36,Peter,has,twelve,old,flowers
37,William,kept,two,red,windows
38,Allen,sees,nine,large,chairs
39,Peter,got,fifteen,heavy,tables
40,Steven,ordered,three,large,rings
41,William,wants,three,pretty,desks
42,Lucy,bought,twelve,green,desks
43,Rachel,sees,three,large,spoons
44,Steven,sold,fifteen,pretty,houses
45,Allen,prefers,four,heavy,flowers
46,Allen,bought,nineteen,large,chairs
47,Doris,sold,twelve,old,sofas
48,Lucy,has,two,white,desks
49,Thomas,prefers,nine,cheap,spoons
50,William,gives,nineteen,dark,rings
51,Peter,sold,two,large,flowers
52,William,gives,nineteen,dark,rings
53,Doris,wants,twelve,cheap,toys
54,Steven,sold,nine,green,sofas
55,Nina,ordered,nine,heavy,tables
56,Rachel,prefers,twelve,red,desks
57,Peter,kept,three,white,desks
58,William,kept,two,red,windows
59,Doris,ordered,nineteen,white,toys
