,Column1,Column2,Column3,Column4,Column5
0,Kathy,has,eight,red,flowers
1,Doris,bought,fifteen,cheap,tables
2,Rachel,has,four,small,desks
3,Peter,kept,three,large,chairs
4,Steven,kept,four,large,tables
5,Peter,got,four,green,desks
6,Steven,gives,fifteen,white,toys
7,Allen,kept,three,old,flowers
8,Rachel,ordered,four,pretty,spoons
9,Peter,has,three,pretty,flowers
10,Allen,has,four,green,spoons
11,Allen,has,three,green,rings
12,Kathy,ordered,three,cheap,spoons
13,Thomas,ordered,three,old,houses
14,William,gives,nineteen,dark,rings
15,Lucy,has,two,small,flowers
16,Peter,got,four,pretty,houses
17,Rachel,sold,twelve,large,spoons
18,Peter,got,fifteen,cheap,rings
19,Peter,got,four,pretty,houses
20,Thomas,sold,fifteen,white,spoons
21,Nina,kept,four,white,tables
22,Kathy,sold,three,dark,rings
23,Rachel,kept,eight,large,chairs
24,Steven,ordered,two,dark,spoons
25,Lucy,bought,sixty,old,windows
26,Steven,prefers,four,large,houses
27,Doris,sees,three,green,desks
28,Nina,gives,two,cheap,rings
29,Doris,kept,sixty,dark,rings
30,William,got,nineteen,pretty,rings
31,Kathy,sold,twelve,green,chairs
32,Allen,sees,four,dark,toys
33,Steven,ordered,sixty,pretty,desks
34,Lucy,prefers,nineteen,red,sofas
35,Lucy,got,three,red,desks
36,Doris,ordered,two,old,toys
37,Rachel,wants,fifteen,red,windows
38,Peter,ordered,two,green,houses
39,Kathy,ordered,eight,large,tables
40,William,sees,three,white,houses
41,Lucy,kept,two,old,rings
42,Peter,has,fifteen,green,rings
43,Allen,has,nineteen,old,tables
44,Allen,prefers,three,red,sofas
45,Allen,ordered,three,dark,spoons
46,Steven,ordered,fifteen,pretty,desks
47,Allen,bought,nineteen,pretty,sofas
