,0
0,match left
1,match right
2,mismatch right
3,mismatch left
4,mismatch right
5,match left
6,match left
7,match right
8,match left
9,mismatch right
10,match right
11,match right
12,match left
13,mismatch left
14,match left
15,mismatch left
16,mismatch left
17,mismatch right
18,mismatch left
19,match left
20,mismatch left
21,mismatch right
22,mismatch right
23,match right
24,mismatch left
25,match right
26,match left
27,match right
28,match right
29,mismatch right
30,mismatch right
31,mismatch left
32,match left
33,mismatch left
34,match right
35,match left
36,mismatch right
37,mismatch left
38,mismatch right
39,match right
40,match right
41,mismatch left
42,mismatch left
43,mismatch right
44,match right
45,match left
46,mismatch right
47,match left
