,0
0,mismatch right
1,match left
2,mismatch left
3,mismatch left
4,mismatch right
5,match right
6,mismatch right
7,match left
8,match right
9,match left
10,mismatch left
11,mismatch right
12,match right
13,mismatch left
14,mismatch left
15,match right
16,match left
17,match right
18,mismatch left
19,match right
20,match right
21,mismatch right
22,match right
23,mismatch left
24,match left
25,match right
26,mismatch left
27,mismatch right
28,mismatch left
29,mismatch left
30,match right
31,match left
32,match left
33,mismatch right
34,mismatch right
35,mismatch left
36,match left
37,mismatch right
38,mismatch left
39,match left
40,match left
41,match left
42,mismatch right
43,match right
44,match right
45,mismatch right
46,match left
47,mismatch right
