,0
0,Steven ordered seven cheap windows_1.mp4
1,Thomas sold nine large desks_1.mp4
2,William gives twelve red rings_1.mp4
3,Kathy wants fifteen green tables_1.mp4
4,Kathy ordered fifteen cheap toys_1.mp4
5,Nina sold nine heavy desks_1.mp4
6,William has seven white tables_1.mp4
7,Rachel got three heavy sofas_1.mp4
8,Peter ordered three white houses_1.mp4
9,William sold nine old desks_1.mp4
10,Allen bought nineteen large chairs_1.mp4
11,Allen sold twelve dark desks_1.mp4
12,Rachel got two red toys_1.mp4
13,William gives nineteen small sofas_1.mp4
14,Steven wants fifteen heavy tables_1.mp4
15,William prefers two small desks_1.mp4
16,Allen sold four red flowers_1.mp4
17,Steven got eight dark chairs_1.mp4
18,Peter gives fifteen cheap windows_1.mp4
19,Allen wants two white flowers_1.mp4
20,Peter got fifteen small desks_1.mp4
21,William sold three old windows_1.mp4
22,Steven ordered twelve dark sofas_1.mp4
23,Lucy got eight red flowers_1.mp4
24,Allen wants fifteen large houses_1.mp4
25,Thomas bought sixty white spoons_1.mp4
26,Peter has seven pretty desks_1.mp4
27,Rachel ordered twelve cheap tables_1.mp4
28,Thomas got twelve heavy windows_1.mp4
29,Nina sees nineteen old chairs_1.mp4
30,Peter got three cheap houses_1.mp4
31,Kathy bought eight green flowers_1.mp4
32,Lucy wants fifteen small sofas_1.mp4
33,Peter ordered fifteen green tables_1.mp4
34,Rachel prefers three pretty spoons_1.mp4
35,William prefers two small desks_1.mp4
36,Rachel kept seven small rings_1.mp4
37,Lucy has four white chairs_1.mp4
38,Lucy gives eight cheap toys_1.mp4
39,Rachel sold seven white tables_1.mp4
40,Thomas got eight red windows_1.mp4
41,Allen bought nineteen small chairs_1.mp4
42,William ordered three old desks_1.mp4
43,Allen sees four dark toys_1.mp4
44,Lucy gives eight small houses_1.mp4
45,Peter ordered twelve red windows_1.mp4
46,Thomas got seven large desks_1.mp4
47,Rachel bought eight white rings_1.mp4
