,Column1,Column2,Column3,Column4,Column5
0,Steven,gives,nine,red,desks
1,Doris,bought,eight,cheap,houses
2,William,kept,three,small,spoons
3,Rachel,wants,twelve,white,flowers
4,Steven,ordered,seven,cheap,windows
5,Lucy,got,three,red,desks
6,Peter,bought,nineteen,pretty,rings
7,Thomas,wants,seven,green,toys
8,Nina,has,fifteen,white,spoons
9,Peter,has,twelve,old,flowers
10,Peter,got,nineteen,heavy,windows
11,Nina,prefers,three,red,spoons
12,Thomas,has,two,pretty,flowers
13,Kathy,wants,sixty,old,toys
14,Thomas,prefers,eight,cheap,toys
15,Peter,has,fifteen,dark,flowers
16,Thomas,wants,four,pretty,rings
17,Rachel,sold,seven,old,tables
18,Nina,got,twelve,white,toys
19,Doris,got,three,old,toys
20,Rachel,got,eight,small,spoons
21,William,sees,sixty,cheap,chairs
22,Lucy,ordered,twelve,dark,houses
23,Rachel,sold,seven,old,tables
24,Peter,sold,fifteen,cheap,chairs
25,Kathy,sees,seven,heavy,houses
26,Lucy,got,four,pretty,sofas
27,Rachel,kept,nine,dark,desks
28,Doris,has,three,red,toys
29,Rachel,got,sixty,pretty,flowers
30,Doris,ordered,nineteen,white,toys
31,Allen,sold,nine,heavy,tables
32,Peter,wants,twelve,small,tables
33,Doris,sold,nine,cheap,houses
34,Allen,sees,three,small,rings
35,Nina,prefers,four,red,windows
36,Peter,gives,twelve,old,toys
37,Thomas,ordered,fifteen,red,houses
38,Allen,bought,nineteen,small,chairs
39,Doris,has,sixty,dark,spoons
40,Peter,got,twelve,old,desks
41,Rachel,sees,nine,pretty,desks
42,Peter,sold,sixty,white,desks
43,Allen,has,sixty,large,windows
44,Lucy,got,four,pretty,sofas
45,Lucy,wants,nine,large,toys
46,Doris,prefers,nineteen,dark,flowers
47,Rachel,kept,eight,large,sofas
48,Rachel,sees,three,pretty,chairs
49,Thomas,prefers,nine,dark,rings
50,Lucy,has,four,old,flowers
51,Peter,ordered,two,dark,tables
52,Peter,has,seven,white,flowers
53,Rachel,prefers,two,old,toys
54,Steven,sees,nineteen,dark,sofas
55,Doris,bought,eight,cheap,houses
56,Thomas,prefers,eight,cheap,toys
57,Thomas,prefers,fifteen,small,houses
58,Peter,got,sixty,red,spoons
59,Doris,sold,twelve,old,sofas
