,0
0,mismatch left
1,mismatch left
2,match left
3,match left
4,mismatch right
5,match right
6,match left
7,match left
8,match left
9,mismatch right
10,mismatch right
11,mismatch left
12,mismatch right
13,match left
14,mismatch right
15,mismatch right
16,mismatch right
17,match right
18,match right
19,mismatch left
20,match left
21,match right
22,mismatch left
23,mismatch left
24,match left
25,match right
26,match right
27,match right
28,match right
29,match left
30,mismatch right
31,mismatch left
32,mismatch right
33,mismatch left
34,match right
35,mismatch right
36,match right
37,match left
38,mismatch right
39,mismatch left
40,mismatch left
41,mismatch left
42,mismatch left
43,mismatch right
44,match left
45,match right
46,match left
47,match right
