,0
0,Kathy ordered fifteen cheap toys_1.mp4
1,William sold three green desks_1.mp4
2,Thomas got twelve dark houses_1.mp4
3,Nina has eight small windows_1.mp4
4,William ordered nineteen old toys_1.mp4
5,Steven kept nine small spoons_1.mp4
6,Steven kept fifteen small sofas_1.mp4
7,Peter wants three green spoons_1.mp4
8,Lucy gives eight cheap toys_1.mp4
9,Rachel sees nine pretty desks_1.mp4
10,Steven kept three old rings_1.mp4
11,Steven gives nine red desks_1.mp4
12,Lucy has seven green toys_1.mp4
13,Lucy ordered three large tables_1.mp4
14,Kathy got sixty pretty desks_1.mp4
15,Thomas kept fifteen dark windows_1.mp4
16,Steven ordered seven small houses_1.mp4
17,Peter got sixty small chairs_1.mp4
18,William ordered two old desks_1.mp4
19,Doris kept seven large sofas_1.mp4
20,Steven got fifteen old chairs_1.mp4
21,William sees sixty cheap chairs_1.mp4
22,Peter got four pretty houses_1.mp4
23,Thomas bought three red windows_1.mp4
24,Nina ordered three heavy windows_1.mp4
25,Steven sees three pretty desks_1.mp4
26,Peter has four large toys_1.mp4
27,Lucy ordered twelve dark houses_1.mp4
28,Rachel wants fifteen red windows_1.mp4
29,Lucy ordered four cheap chairs_1.mp4
30,Lucy has two small flowers_1.mp4
31,Steven got nine large windows_1.mp4
32,Nina ordered three heavy windows_1.mp4
33,Doris sold sixty green spoons_1.mp4
34,Steven bought nine green desks_1.mp4
35,Thomas prefers eight cheap toys_1.mp4
36,Allen sees twelve large chairs_1.mp4
37,Kathy bought nine white rings_1.mp4
38,Nina kept four pretty houses_1.mp4
39,Thomas prefers nineteen white spoons_1.mp4
40,Peter sold nineteen pretty rings_1.mp4
41,William kept two red windows_1.mp4
42,Kathy gives nine old chairs_1.mp4
43,Nina has sixty green desks_1.mp4
44,Steven sees four dark spoons_1.mp4
45,Allen bought nineteen small chairs_1.mp4
46,Allen kept nine large tables_1.mp4
47,Nina got three old houses_1.mp4
