,Column1,Column2,Column3,Column4,Column5
0,Kathy,ordered,fifteen,cheap,toys
1,William,sold,three,green,desks
2,Steven,prefers,seven,pretty,sofas
3,Nina,has,eight,small,windows
4,Lucy,got,seven,large,rings
5,Peter,ordered,two,dark,sofas
6,Thomas,got,twelve,heavy,windows
7,Peter,wants,three,green,spoons
8,Lucy,gives,eight,cheap,toys
9,Kathy,wants,two,pretty,sofas
10,William,ordered,two,old,desks
11,Allen,got,three,cheap,chairs
12,Lucy,has,seven,green,toys
13,Lucy,ordered,three,large,tables
14,Allen,prefers,four,heavy,flowers
15,Thomas,kept,fifteen,dark,windows
16,Steven,ordered,seven,small,houses
17,Peter,got,sixty,small,chairs
18,Steven,sees,four,dark,spoons
19,Doris,kept,seven,large,sofas
20,Steven,got,fifteen,old,chairs
21,William,sees,sixty,cheap,chairs
22,Peter,got,four,pretty,houses
23,Thomas,bought,three,red,windows
24,Nina,ordered,three,heavy,windows
25,Steven,sees,three,pretty,desks
26,Peter,has,four,large,toys
27,Lucy,ordered,twelve,dark,houses
28,Kathy,bought,nine,white,rings
29,William,prefers,sixty,small,sofas
30,Lucy,has,two,small,flowers
31,Steven,sold,twelve,large,desks
32,William,gives,twelve,red,rings
33,Thomas,got,seven,large,desks
34,Peter,kept,eight,dark,toys
35,William,gives,nineteen,small,sofas
36,Allen,sees,twelve,large,chairs
37,Lucy,got,three,red,desks
38,Doris,sold,sixty,green,spoons
39,Allen,kept,three,heavy,desks
40,Peter,sold,nineteen,pretty,rings
41,Nina,has,eight,green,spoons
42,Rachel,prefers,fifteen,large,houses
43,Doris,got,seven,cheap,desks
44,William,wants,three,pretty,desks
45,Allen,bought,nineteen,small,chairs
46,Allen,kept,nine,large,tables
47,Nina,got,three,old,houses
