,0
0,Lucy kept two old rings_1.mp4
1,Peter sees sixty large spoons_1.mp4
2,Steven prefers seven pretty sofas_1.mp4
3,Steven ordered two dark spoons_1.mp4
4,Lucy got seven large rings_1.mp4
5,Peter ordered two dark sofas_1.mp4
6,Thomas got twelve heavy windows_1.mp4
7,William has sixty white chairs_1.mp4
8,Allen prefers two red tables_1.mp4
9,Kathy wants two pretty sofas_1.mp4
10,William ordered two old desks_1.mp4
11,Allen got three cheap chairs_1.mp4
12,Thomas has sixty dark houses_1.mp4
13,Doris sold twelve old sofas_1.mp4
14,Allen prefers four heavy flowers_1.mp4
15,Nina sees nineteen green houses_1.mp4
16,Peter wants seven white spoons_1.mp4
17,Lucy wants three cheap flowers_1.mp4
18,Steven sees four dark spoons_1.mp4
19,Kathy bought nine white rings_1.mp4
20,Thomas gives twelve heavy toys_1.mp4
21,Rachel prefers two old toys_1.mp4
22,Allen ordered twelve heavy rings_1.mp4
23,Nina sold fifteen large desks_1.mp4
24,Kathy kept seven green flowers_1.mp4
25,Allen gives seven green flowers_1.mp4
26,Doris kept nineteen cheap spoons_1.mp4
27,Nina got two heavy tables_1.mp4
28,Kathy bought nine white rings_1.mp4
29,William prefers sixty small sofas_1.mp4
30,Peter got seven white tables_1.mp4
31,Steven sold twelve large desks_1.mp4
32,William gives twelve red rings_1.mp4
33,Thomas got seven large desks_1.mp4
34,Peter kept eight dark toys_1.mp4
35,William gives nineteen small sofas_1.mp4
36,Peter ordered two dark tables_1.mp4
37,Lucy got three red desks_1.mp4
38,Doris sold sixty green spoons_1.mp4
39,Allen kept three heavy desks_1.mp4
40,Thomas got twelve small toys_1.mp4
41,Nina has eight green spoons_1.mp4
42,Rachel prefers fifteen large houses_1.mp4
43,Doris got seven cheap desks_1.mp4
44,William wants three pretty desks_1.mp4
45,Nina ordered nine white houses_1.mp4
46,Lucy got eight red flowers_1.mp4
47,William bought two heavy windows_1.mp4
