,0
0,mismatch left
1,mismatch left
2,match left
3,match left
4,mismatch right
5,mismatch right
6,match right
7,match right
8,mismatch right
9,mismatch left
10,match left
11,match left
12,match right
13,mismatch left
14,match left
15,match right
16,match right
17,mismatch left
18,mismatch right
19,match right
20,mismatch right
21,match left
22,mismatch left
23,match left
24,mismatch right
25,mismatch right
26,match right
27,mismatch left
28,match left
29,match right
30,match left
31,mismatch right
32,mismatch right
33,mismatch left
34,mismatch left
35,match left
36,mismatch left
37,match right
38,match left
39,match left
40,mismatch left
41,match right
42,mismatch left
43,match left
44,match right
45,mismatch right
46,match right
47,mismatch right
48,match left
49,match right
50,mismatch left
51,mismatch right
52,match right
53,mismatch right
54,match left
55,mismatch right
56,mismatch left
57,mismatch left
58,match right
59,mismatch right
