,0
0,William sees three white toys_1.mp4
1,Allen sees three red toys_1.mp4
2,Doris kept four small chairs_1.mp4
3,Steven bought twelve cheap desks_1.mp4
4,Rachel sees four old houses_1.mp4
5,Peter got eight large tables_1.mp4
6,Thomas wants nineteen red windows_1.mp4
7,Thomas bought twelve small flowers_1.mp4
8,William ordered two red sofas_1.mp4
9,Nina wants eight large toys_1.mp4
10,Steven kept four large tables_1.mp4
11,Doris wants two dark tables_1.mp4
12,Peter wants seven cheap windows_1.mp4
13,Peter ordered two green houses_1.mp4
14,Doris gives three pretty windows_1.mp4
15,Nina gives twelve old sofas_1.mp4
16,William ordered sixty cheap houses_1.mp4
17,Lucy gives fifteen green flowers_1.mp4
18,Rachel gives four green rings_1.mp4
19,Thomas sees nineteen cheap houses_1.mp4
20,Kathy got seven red houses_1.mp4
21,Allen wants sixty large windows_1.mp4
22,Nina has sixty cheap flowers_1.mp4
23,Peter got three red spoons_1.mp4
24,Rachel wants eight green rings_1.mp4
25,Thomas gives eight large tables_1.mp4
26,Nina sees nineteen green desks_1.mp4
27,Nina has sixty cheap flowers_1.mp4
28,William got twelve heavy tables_1.mp4
29,Peter got three dark spoons_1.mp4
30,Doris got two old tables_1.mp4
31,Rachel prefers twelve old spoons_1.mp4
32,Doris kept sixty dark rings_1.mp4
33,William has seven cheap sofas_1.mp4
34,William ordered seven white houses_1.mp4
35,Allen got nineteen heavy toys_1.mp4
36,Kathy kept three large toys_1.mp4
37,Kathy kept seven heavy flowers_1.mp4
38,Doris wants twelve large spoons_1.mp4
39,Nina gives twelve old sofas_1.mp4
40,Doris bought four small houses_1.mp4
41,Lucy gives seven green sofas_1.mp4
42,Lucy prefers three pretty desks_1.mp4
43,Peter kept four dark desks_1.mp4
44,William sees nineteen white flowers_1.mp4
45,Nina wants eight pretty rings_1.mp4
46,Thomas ordered seven old desks_1.mp4
47,Nina prefers twelve large houses_1.mp4
