,Column1,Column2,Column3,Column4,Column5
0,Nina,prefers,four,red,windows
1,Steven,sold,fifteen,pretty,houses
2,Allen,has,nine,heavy,flowers
3,Thomas,sees,eight,green,rings
4,Peter,wants,nine,large,toys
5,Lucy,wants,sixty,small,sofas
6,Steven,got,nine,heavy,rings
7,Allen,sees,four,dark,toys
8,Kathy,ordered,two,green,desks
9,Rachel,kept,eight,large,chairs
10,Rachel,kept,eight,large,chairs
11,Lucy,sold,fifteen,red,flowers
12,Thomas,wants,three,small,rings
13,Steven,bought,eight,large,sofas
14,Peter,has,seven,green,tables
15,Peter,has,seven,green,tables
16,Allen,sold,nine,heavy,tables
17,Steven,has,four,red,toys
18,Steven,has,four,red,toys
19,Kathy,ordered,three,dark,chairs
20,Thomas,got,nineteen,red,sofas
21,Nina,gives,two,pretty,rings
22,Rachel,sees,fifteen,old,flowers
23,Rachel,kept,seven,small,rings
24,Peter,sold,fifteen,cheap,spoons
25,William,bought,sixty,cheap,desks
26,Steven,has,four,red,toys
27,Kathy,ordered,two,green,desks
28,Allen,kept,seven,heavy,spoons
29,Lucy,ordered,twelve,dark,houses
30,Peter,gives,fifteen,cheap,windows
31,Thomas,wants,three,old,flowers
32,Doris,sees,twelve,large,desks
33,Allen,bought,nine,pretty,sofas
34,Allen,bought,nine,pretty,sofas
35,William,prefers,sixty,pretty,flowers
36,Doris,has,three,red,spoons
37,Kathy,kept,eight,heavy,desks
38,Lucy,has,three,red,desks
39,Rachel,sees,nine,green,windows
40,Allen,got,nine,old,sofas
41,Peter,bought,eight,pretty,flowers
42,Rachel,sold,seven,white,tables
43,Thomas,got,three,white,flowers
44,Steven,wants,two,old,sofas
45,Allen,has,eight,cheap,windows
46,Peter,prefers,two,heavy,desks
47,William,kept,sixty,heavy,rings
