,0
0,mismatch left
1,mismatch right
2,match right
3,mismatch left
4,mismatch right
5,mismatch right
6,mismatch left
7,match left
8,mismatch right
9,match left
10,match left
11,mismatch left
12,match right
13,match left
14,mismatch left
15,match right
16,mismatch right
17,match right
18,mismatch left
19,match left
20,match right
21,match left
22,match right
23,match right
24,match left
25,match right
26,mismatch left
27,match left
28,match left
29,match left
30,match right
31,mismatch right
32,match right
33,match right
34,mismatch left
35,mismatch right
36,match right
37,mismatch right
38,mismatch right
39,match left
40,mismatch right
41,mismatch right
42,match left
43,mismatch left
44,mismatch left
45,mismatch right
46,mismatch left
47,mismatch left
