,0
0,Allen ordered twelve heavy rings_1.mp4
1,Peter sold four heavy windows_1.mp4
2,Allen sees four green houses_1.mp4
3,Peter ordered eight green flowers_1.mp4
4,Thomas prefers nineteen white spoons_1.mp4
5,Steven kept fifteen small sofas_1.mp4
6,Steven bought four small tables_1.mp4
7,William sold three old windows_1.mp4
8,Doris ordered twelve old flowers_1.mp4
9,Nina prefers four red windows_1.mp4
10,Rachel got eight white desks_1.mp4
11,Nina prefers four red windows_1.mp4
12,William prefers two small desks_1.mp4
13,Peter gives eight red houses_1.mp4
14,Lucy has four white chairs_1.mp4
15,Peter ordered three white houses_1.mp4
16,Nina sold four heavy rings_1.mp4
17,Rachel sees three pretty chairs_1.mp4
18,Doris ordered twelve old flowers_1.mp4
19,Allen prefers four small flowers_1.mp4
20,Thomas kept fifteen dark windows_1.mp4
21,Steven prefers fifteen red spoons_1.mp4
22,Rachel gives fifteen small desks_1.mp4
23,Lucy wants three cheap flowers_1.mp4
24,Kathy got seven large chairs_1.mp4
25,Peter bought fifteen green rings_1.mp4
26,Thomas got three dark windows_1.mp4
27,Peter sold four large flowers_1.mp4
28,Steven got eight dark chairs_1.mp4
29,William sold sixty large desks_1.mp4
30,Thomas got seven large desks_1.mp4
31,Nina sold two small houses_1.mp4
32,Rachel got three small sofas_1.mp4
33,Doris prefers three red tables_1.mp4
34,Lucy ordered three red spoons_1.mp4
35,Lucy wants eight cheap tables_1.mp4
36,Peter has four large toys_1.mp4
37,Allen gives fifteen old desks_1.mp4
38,William bought four red tables_1.mp4
39,Thomas prefers nineteen white spoons_1.mp4
40,Peter ordered two dark tables_1.mp4
41,Thomas sees eight green rings_1.mp4
42,Peter gives sixty large tables_1.mp4
43,Kathy ordered three cheap spoons_1.mp4
44,Lucy sold twelve cheap spoons_1.mp4
45,Peter sold fifteen cheap chairs_1.mp4
46,Peter ordered fifteen green tables_1.mp4
47,Kathy gives seven old desks_1.mp4
