,0
0,Thomas wants three old flowers_1.mp4
1,Doris has three dark desks_1.mp4
2,Peter kept three large chairs_1.mp4
3,Lucy gives eight white desks_1.mp4
4,Thomas wants seven green toys_1.mp4
5,Kathy sold nineteen old sofas_1.mp4
6,William prefers two small desks_1.mp4
7,Allen wants three pretty chairs_1.mp4
8,Peter ordered twelve red windows_1.mp4
9,Nina sold four heavy rings_1.mp4
10,Nina ordered nine white houses_1.mp4
11,Peter gives sixty pretty rings_1.mp4
12,Allen prefers four heavy flowers_1.mp4
13,Nina sold twelve old windows_1.mp4
14,Thomas sold two old chairs_1.mp4
15,Rachel sees three large spoons_1.mp4
16,Peter sold nineteen pretty rings_1.mp4
17,Doris wants twelve cheap toys_1.mp4
18,Allen bought seven green desks_1.mp4
19,Kathy kept three cheap flowers_1.mp4
20,Doris ordered two cheap sofas_1.mp4
21,Kathy wants sixty old toys_1.mp4
22,Lucy got four heavy toys_1.mp4
23,Peter sold four heavy windows_1.mp4
24,William kept nine large rings_1.mp4
25,Allen gives four pretty desks_1.mp4
26,Allen prefers two heavy desks_1.mp4
27,Doris sold nineteen green desks_1.mp4
28,Rachel got eight small houses_1.mp4
29,Steven prefers seven pretty sofas_1.mp4
30,William ordered four heavy windows_1.mp4
31,Lucy got fifteen small flowers_1.mp4
32,Peter bought three cheap rings_1.mp4
33,Allen prefers four small flowers_1.mp4
34,Thomas got eight red windows_1.mp4
35,Kathy wants two pretty sofas_1.mp4
36,Peter got nineteen heavy windows_1.mp4
37,Steven kept three green chairs_1.mp4
38,William sees sixty cheap flowers_1.mp4
39,Kathy bought nine white rings_1.mp4
40,Thomas ordered two small tables_1.mp4
41,Thomas sees eight old toys_1.mp4
42,Rachel got three large chairs_1.mp4
43,Peter sold sixty white desks_1.mp4
44,William bought four red tables_1.mp4
45,Kathy wants fifteen cheap desks_1.mp4
46,Nina got twelve white toys_1.mp4
47,Steven kept fifteen small sofas_1.mp4
