,0,1,2,3,4
0,Allen,got,sixty,cheap,toys
1,William,kept,nine,large,rings
2,Rachel,sold,fifteen,old,rings
3,Rachel,sold,three,heavy,houses
4,William,gives,twelve,white,rings
5,Rachel,sees,nine,large,desks
6,Thomas,prefers,fifteen,old,sofas
7,Doris,bought,eight,cheap,houses
8,Peter,ordered,nine,heavy,desks
9,Thomas,got,eight,dark,spoons
10,Nina,sold,twelve,old,windows
11,Lucy,ordered,nineteen,large,desks
12,Allen,prefers,four,small,sofas
13,Steven,sold,fifteen,old,toys
14,Rachel,prefers,three,pretty,spoons
15,Thomas,sold,eight,white,chairs
16,William,ordered,nine,dark,windows
17,Allen,prefers,four,small,sofas
18,Doris,has,seven,green,tables
19,Steven,sold,eight,cheap,houses
20,Peter,wants,twelve,large,windows
21,Rachel,bought,fifteen,green,houses
22,Steven,kept,three,old,rings
23,Peter,kept,three,small,tables
24,Rachel,prefers,fifteen,large,houses
25,Peter,got,seven,small,desks
26,Peter,sold,fifteen,cheap,toys
27,Doris,got,sixty,red,tables
28,William,ordered,four,heavy,windows
29,Lucy,bought,twelve,green,desks
30,Rachel,sees,three,large,spoons
31,Allen,prefers,twelve,old,sofas
32,Peter,bought,nineteen,pretty,rings
33,Nina,has,eight,small,windows
34,William,gives,nine,green,houses
35,Nina,ordered,fifteen,white,spoons
36,Doris,wants,fifteen,cheap,desks
37,Steven,sold,nine,pretty,windows
38,Doris,kept,three,pretty,desks
39,Peter,got,sixty,old,chairs
40,Lucy,prefers,four,large,flowers
41,Peter,ordered,three,heavy,windows
42,Lucy,wants,eight,cheap,tables
43,Thomas,wants,four,small,tables
44,Steven,has,fifteen,white,chairs
45,Steven,prefers,two,old,rings
46,William,got,sixty,dark,chairs
47,Peter,has,twelve,old,flowers
48,Thomas,prefers,fifteen,small,houses
49,Peter,prefers,two,white,desks
50,Thomas,kept,fifteen,dark,windows
51,Kathy,sold,sixty,cheap,tables
52,Allen,ordered,twelve,heavy,rings
53,Peter,ordered,three,large,flowers
54,Thomas,sees,fifteen,red,desks
55,Kathy,sold,twelve,green,chairs
56,Doris,wants,eight,old,tables
57,Peter,ordered,sixty,heavy,sofas
58,Lucy,sees,eight,pretty,sofas
59,Allen,gives,four,pretty,desks
