,Column1,Column2,Column3,Column4,Column5
0,Peter,ordered,eight,green,flowers
1,Steven,has,nineteen,white,windows
2,Allen,sold,three,old,sofas
3,Nina,kept,twelve,pretty,tables
4,Thomas,sees,seven,green,houses
5,Steven,bought,four,small,tables
6,Kathy,got,seven,dark,spoons
7,William,kept,nine,large,rings
8,Lucy,gives,nineteen,pretty,desks
9,Thomas,sees,nineteen,cheap,houses
10,Nina,has,twelve,large,desks
11,Rachel,bought,eight,dark,windows
12,William,kept,sixty,heavy,rings
13,Kathy,bought,three,small,toys
14,Rachel,ordered,twelve,cheap,tables
15,Kathy,gives,three,dark,flowers
16,Peter,got,twelve,large,toys
17,Nina,ordered,nine,heavy,tables
18,Lucy,gives,fifteen,green,flowers
19,Rachel,has,nineteen,white,desks
20,Lucy,got,three,red,desks
21,Kathy,wants,two,old,windows
22,Rachel,bought,sixty,red,spoons
23,Nina,sold,nineteen,heavy,rings
24,Lucy,gives,eight,small,houses
25,Peter,got,four,green,desks
26,Lucy,sold,nine,old,chairs
27,Nina,ordered,fifteen,red,rings
28,Kathy,wants,fifteen,green,tables
29,Doris,sees,two,heavy,sofas
30,Thomas,got,nine,large,rings
31,Steven,prefers,eight,red,chairs
32,Kathy,sold,fifteen,dark,spoons
33,Peter,wants,seven,heavy,toys
34,Peter,wants,nine,large,toys
35,Steven,sees,four,dark,spoons
36,William,gives,nineteen,small,sofas
37,Peter,ordered,four,white,desks
38,Nina,got,two,heavy,tables
39,Peter,bought,eight,pretty,flowers
40,Doris,sold,sixty,green,spoons
41,Lucy,has,four,white,chairs
42,Kathy,got,two,white,rings
43,Peter,prefers,four,green,desks
44,Steven,sold,nine,green,sofas
45,Doris,sold,nine,dark,tables
46,Lucy,wants,two,red,sofas
47,Doris,has,sixty,old,chairs
