,0
0,Peter ordered eight green flowers_1.mp4
1,William prefers two small desks_1.mp4
2,Doris got four red toys_1.mp4
3,Nina kept twelve pretty tables_1.mp4
4,Thomas sees seven green houses_1.mp4
5,Steven bought four small tables_1.mp4
6,Peter sold fifteen cheap chairs_1.mp4
7,William kept nine large rings_1.mp4
8,Lucy gives nineteen pretty desks_1.mp4
9,Steven got three small tables_1.mp4
10,Peter wants two white chairs_1.mp4
11,Rachel bought eight dark windows_1.mp4
12,Allen sold seven old spoons_1.mp4
13,Kathy bought three small toys_1.mp4
14,Rachel ordered twelve cheap tables_1.mp4
15,Doris prefers three red tables_1.mp4
16,Peter got twelve large toys_1.mp4
17,Nina ordered nine heavy tables_1.mp4
18,Doris bought eight cheap houses_1.mp4
19,Rachel has nineteen white desks_1.mp4
20,Lucy got three red desks_1.mp4
21,Steven got seven green chairs_1.mp4
22,Thomas ordered nine dark flowers_1.mp4
23,William prefers three large desks_1.mp4
24,Lucy gives eight small houses_1.mp4
25,Peter got four green desks_1.mp4
26,Lucy sold nine old chairs_1.mp4
27,Doris has sixty dark spoons_1.mp4
28,Kathy wants fifteen green tables_1.mp4
29,Rachel wants twelve white flowers_1.mp4
30,Nina kept four pretty houses_1.mp4
31,William gives three cheap windows_1.mp4
32,Rachel prefers three pretty spoons_1.mp4
33,Lucy has seven green toys_1.mp4
34,Peter wants nine large toys_1.mp4
35,Steven sees four dark spoons_1.mp4
36,William gives nineteen small sofas_1.mp4
37,Peter ordered four white desks_1.mp4
38,Nina got two heavy tables_1.mp4
39,Kathy ordered fifteen cheap toys_1.mp4
40,Doris sold sixty green spoons_1.mp4
41,Lucy has four white chairs_1.mp4
42,Rachel kept seven small rings_1.mp4
43,Peter prefers four green desks_1.mp4
44,Steven sold nine green sofas_1.mp4
45,Doris sold nine dark tables_1.mp4
46,Rachel kept seven small rings_1.mp4
47,Nina sees nineteen old chairs_1.mp4
