,0
0,match left
1,mismatch left
2,match right
3,mismatch left
4,mismatch left
5,mismatch right
6,match left
7,match left
8,match left
9,mismatch right
10,match right
11,mismatch right
12,mismatch left
13,mismatch right
14,mismatch right
15,match left
16,mismatch left
17,mismatch right
18,match right
19,mismatch left
20,match left
21,mismatch left
22,mismatch right
23,match right
24,match right
25,mismatch left
26,match right
27,mismatch left
28,mismatch right
29,mismatch left
30,match right
31,mismatch right
32,mismatch left
33,match right
34,match left
35,match left
36,mismatch right
37,match left
38,match left
39,match right
40,match right
41,match left
42,match left
43,mismatch right
44,match right
45,mismatch left
46,mismatch right
47,match right
