,0
0,mismatch right
1,mismatch right
2,match right
3,match right
4,mismatch right
5,match left
6,match right
7,mismatch right
8,match left
9,match right
10,mismatch right
11,match left
12,match left
13,mismatch left
14,match right
15,mismatch right
16,mismatch left
17,mismatch left
18,match left
19,match left
20,match right
21,mismatch right
22,mismatch left
23,match right
24,mismatch right
25,mismatch right
26,mismatch right
27,mismatch left
28,mismatch left
29,mismatch left
30,match left
31,match left
32,mismatch left
33,match left
34,match left
35,mismatch left
36,mismatch right
37,mismatch left
38,match right
39,match right
40,mismatch right
41,mismatch left
42,match left
43,match left
44,mismatch left
45,match right
46,match right
47,match right
