,0,1,2,3,4
0,Lucy,ordered,twelve,pretty,rings
1,Peter,sold,four,heavy,windows
2,Allen,sees,four,green,houses
3,Peter,ordered,eight,green,flowers
4,Thomas,prefers,nineteen,white,spoons
5,Steven,kept,fifteen,small,sofas
6,Rachel,bought,four,cheap,desks
7,William,sold,three,old,windows
8,Allen,kept,nineteen,small,rings
9,Thomas,gives,eight,large,tables
10,Rachel,got,eight,white,desks
11,William,ordered,seven,white,houses
12,Peter,gives,four,cheap,tables
13,Allen,prefers,four,pretty,chairs
14,Rachel,gives,four,green,rings
15,Peter,ordered,three,white,houses
16,Doris,wants,fifteen,pretty,houses
17,Rachel,sees,three,pretty,chairs
18,Nina,sees,nineteen,cheap,desks
19,Nina,sold,nineteen,heavy,rings
20,Thomas,kept,fifteen,dark,windows
21,Steven,prefers,fifteen,red,spoons
22,Doris,got,two,old,tables
23,Lucy,wants,three,cheap,flowers
24,Kathy,got,seven,large,chairs
25,Peter,got,fifteen,green,rings
26,Thomas,got,three,dark,windows
27,William,got,three,pretty,sofas
28,Steven,got,eight,dark,chairs
29,Kathy,ordered,four,cheap,spoons
30,Thomas,got,seven,large,desks
31,Rachel,sold,fifteen,old,flowers
32,Rachel,got,three,cheap,sofas
33,Doris,prefers,three,red,tables
34,Lucy,ordered,three,red,spoons
35,William,kept,two,small,chairs
36,Peter,has,four,large,toys
37,Steven,has,three,pretty,windows
38,William,bought,four,red,tables
39,Lucy,got,twelve,pretty,toys
40,Allen,wants,eight,old,houses
41,Thomas,sees,eight,green,rings
42,Thomas,got,three,white,flowers
43,Kathy,ordered,three,cheap,spoons
44,Rachel,gives,four,green,rings
45,Peter,sold,fifteen,cheap,chairs
46,Allen,kept,seven,heavy,spoons
47,William,got,twelve,large,chairs
