,0,1,2,3,4
0,Peter,got,nineteen,large,desks
1,Kathy,bought,fifteen,green,tables
2,Steven,sold,fifteen,pretty,houses
3,Doris,kept,nineteen,cheap,spoons
4,Kathy,bought,sixty,red,sofas
5,Thomas,prefers,nine,white,tables
6,William,ordered,two,large,desks
7,Steven,gives,nine,red,desks
8,Lucy,sees,eight,pretty,sofas
9,Doris,has,sixty,dark,spoons
10,Thomas,wants,three,old,flowers
11,Rachel,gives,fifteen,small,desks
12,Peter,sold,four,large,flowers
13,Nina,sees,nineteen,old,chairs
14,Steven,got,fifteen,old,chairs
15,Rachel,ordered,four,pretty,spoons
16,Peter,bought,nineteen,cheap,houses
17,Lucy,kept,two,old,rings
18,Peter,got,nine,green,sofas
19,Thomas,got,nine,pretty,sofas
20,Kathy,kept,seven,green,flowers
21,Nina,has,eight,large,windows
22,Thomas,got,twelve,dark,houses
23,Steven,prefers,fifteen,red,spoons
24,Peter,has,two,dark,flowers
25,Nina,prefers,four,large,windows
26,Lucy,kept,two,old,rings
27,Peter,has,seven,white,desks
28,Kathy,prefers,sixty,cheap,desks
29,Nina,sees,nineteen,large,windows
30,Peter,has,fifteen,green,rings
31,Allen,bought,seven,green,tables
32,Nina,got,two,heavy,tables
33,William,ordered,twelve,cheap,rings
34,Allen,wants,fifteen,large,houses
35,Thomas,prefers,nineteen,pretty,sofas
36,Kathy,bought,sixty,red,chairs
37,Kathy,gives,three,small,desks
38,Thomas,ordered,four,dark,houses
39,William,sees,sixty,cheap,flowers
40,Allen,wants,eight,green,toys
41,Peter,has,seven,large,desks
42,Peter,got,eight,white,windows
43,Allen,kept,seven,red,houses
44,Steven,has,four,heavy,chairs
45,Peter,ordered,four,red,toys
46,Thomas,prefers,nineteen,small,toys
47,Rachel,bought,fifteen,green,houses
48,Kathy,got,nine,white,rings
49,Thomas,got,twelve,small,toys
50,Peter,bought,three,cheap,rings
51,Allen,wants,fifteen,large,houses
52,William,gives,twelve,red,rings
53,Steven,bought,twelve,white,windows
54,Thomas,ordered,fifteen,red,houses
55,Rachel,prefers,two,old,toys
56,William,sees,sixty,cheap,chairs
57,Allen,sold,seven,old,spoons
58,Lucy,gives,eight,cheap,toys
59,Thomas,ordered,twelve,large,desks
