,0,1,2,3,4
0,Allen,gives,four,heavy,rings
1,Allen,gives,four,heavy,rings
2,Kathy,got,nine,large,sofas
3,Allen,gives,four,heavy,rings
4,Nina,ordered,sixty,red,toys
5,Rachel,sees,twelve,white,toys
6,Lucy,kept,seven,pretty,tables
7,Lucy,has,nineteen,old,spoons
8,Peter,prefers,sixty,pretty,spoons
9,Allen,gives,four,heavy,rings
10,Peter,prefers,three,small,toys
11,Nina,kept,seven,old,spoons
12,Nina,ordered,sixty,pretty,spoons
13,Nina,ordered,sixty,old,houses
14,Nina,ordered,seven,pretty,tables
15,Lucy,kept,seven,pretty,tables
16,Nina,ordered,sixty,red,tables
17,Nina,kept,seven,pretty,spoons
18,Peter,prefers,three,red,toys
19,Peter,prefers,sixty,red,tables
20,Doris,got,nineteen,pretty,tables
21,Kathy,has,nineteen,old,spoons
22,Lucy,kept,seven,pretty,tables
23,Nina,ordered,seven,pretty,tables
24,Nina,ordered,seven,pretty,tables
25,Peter,prefers,sixty,red,tables
26,Nina,kept,nineteen,large,rings
27,Nina,kept,seven,old,spoons
28,Peter,prefers,three,red,toys
29,Nina,ordered,sixty,red,toys
30,Peter,prefers,three,red,tables
31,Peter,has,nineteen,heavy,sofas
32,Lucy,kept,nine,large,houses
33,Lucy,has,nineteen,large,rings
34,Lucy,kept,nineteen,large,rings
35,Nina,ordered,seven,pretty,spoons
36,Lucy,kept,nineteen,old,sofas
37,Allen,gives,four,green,houses
38,Lucy,kept,nineteen,old,spoons
39,Lucy,has,nine,large,rings
40,Kathy,has,nineteen,old,spoons
41,Allen,gives,four,heavy,rings
42,Doris,got,nine,large,sofas
43,Peter,kept,seven,large,sofas
44,Peter,kept,nineteen,old,sofas
45,,prefers,sixty,pretty,spoons
46,Lucy,kept,nineteen,large,sofas
47,Lucy,has,nineteen,large,rings
