,0
0,match right
1,match left
2,mismatch right
3,mismatch right
4,match right
5,match right
6,mismatch left
7,match left
8,mismatch left
9,match right
10,match left
11,match left
12,mismatch right
13,mismatch left
14,mismatch left
15,mismatch right
16,mismatch right
17,mismatch left
18,mismatch left
19,match left
20,match left
21,mismatch right
22,mismatch left
23,mismatch right
24,mismatch right
25,match left
26,match left
27,match right
28,match right
29,mismatch right
30,mismatch left
31,mismatch left
32,mismatch left
33,mismatch right
34,match left
35,match right
36,match right
37,mismatch left
38,match right
39,match left
40,match right
41,mismatch right
42,mismatch right
43,match left
44,mismatch left
45,match right
46,match right
47,match left
