,0
0,Steven gives fifteen white toys_1.mp4
1,William ordered four heavy windows_1.mp4
2,Steven sold nine green sofas_1.mp4
3,William kept nine large rings_1.mp4
4,Allen kept eight red toys_1.mp4
5,Doris has three red toys_1.mp4
6,Thomas has sixty dark houses_1.mp4
7,Thomas got nine pretty sofas_1.mp4
8,Kathy wants two pretty sofas_1.mp4
9,Thomas bought three red windows_1.mp4
10,Peter got four green desks_1.mp4
11,Lucy gives eight small houses_1.mp4
12,Steven prefers fifteen red spoons_1.mp4
13,Doris kept seven large sofas_1.mp4
14,Peter kept three large chairs_1.mp4
15,William kept three green desks_1.mp4
16,Peter gives fifteen cheap windows_1.mp4
17,Thomas got seven large desks_1.mp4
18,William sees sixty cheap chairs_1.mp4
19,William ordered four heavy windows_1.mp4
20,Lucy has two white desks_1.mp4
21,Doris wants twelve cheap toys_1.mp4
22,William sees eight large flowers_1.mp4
23,Doris sold nineteen green desks_1.mp4
24,William kept three small spoons_1.mp4
25,Lucy wants fifteen small sofas_1.mp4
26,Peter has fifteen white windows_1.mp4
27,Nina sees nineteen old chairs_1.mp4
28,Doris ordered twelve old flowers_1.mp4
29,Thomas ordered nine heavy sofas_1.mp4
30,Kathy wants eight dark flowers_1.mp4
31,Thomas got twelve large toys_1.mp4
32,Thomas has sixty dark houses_1.mp4
33,Lucy bought twelve green desks_1.mp4
34,Kathy got three old flowers_1.mp4
35,Peter got two cheap houses_1.mp4
36,William gives nineteen dark rings_1.mp4
37,Peter got fifteen old tables_1.mp4
38,Thomas got eight large windows_1.mp4
39,Peter has two cheap windows_1.mp4
40,Peter gives three green rings_1.mp4
41,Rachel ordered four pretty spoons_1.mp4
42,Steven ordered fifteen white spoons_1.mp4
43,Peter bought nineteen pretty rings_1.mp4
44,Peter sees seven large desks_1.mp4
45,Allen gives seven green flowers_1.mp4
46,Steven sold nine green sofas_1.mp4
47,Doris sold nine cheap houses_1.mp4
