,0
0,William kept sixty heavy rings_1.mp4
1,Peter sold two white flowers_1.mp4
2,Kathy ordered four cheap spoons_1.mp4
3,Lucy prefers nineteen red sofas_1.mp4
4,William bought seven white desks_1.mp4
5,William prefers sixty pretty flowers_1.mp4
6,Peter sees four large chairs_1.mp4
7,Lucy gives twelve large spoons_1.mp4
8,Doris prefers three white rings_1.mp4
9,Kathy sees two old sofas_1.mp4
10,Thomas sold sixty small rings_1.mp4
11,William got nineteen green spoons_1.mp4
12,Kathy kept seven heavy desks_1.mp4
13,Nina sees nineteen green desks_1.mp4
14,Lucy wants two red sofas_1.mp4
15,Nina gives four large windows_1.mp4
16,Thomas kept eight pretty sofas_1.mp4
17,Kathy bought four dark rings_1.mp4
18,Thomas prefers fifteen pretty windows_1.mp4
19,Allen prefers three red sofas_1.mp4
20,Peter wants three pretty chairs_1.mp4
21,Peter got nineteen green desks_1.mp4
22,Nina has twelve small desks_1.mp4
23,Thomas wants twelve large chairs_1.mp4
24,Doris bought eight cheap chairs_1.mp4
25,Thomas got three white flowers_1.mp4
26,Steven sees three red desks_1.mp4
27,Rachel got twelve red desks_1.mp4
28,Lucy prefers three large houses_1.mp4
29,Rachel kept three pretty houses_1.mp4
30,Steven sold sixty pretty toys_1.mp4
31,Peter wants nine green spoons_1.mp4
32,Nina bought nine heavy desks_1.mp4
33,Kathy prefers four large houses_1.mp4
34,Lucy gives twelve large spoons_1.mp4
35,Allen prefers nine dark chairs_1.mp4
36,Kathy got seven red houses_1.mp4
37,Allen has nine heavy flowers_1.mp4
38,Lucy gives nineteen pretty houses_1.mp4
39,William sees three white houses_1.mp4
40,Kathy got nine dark chairs_1.mp4
41,Peter got twelve large chairs_1.mp4
42,Thomas got seven pretty flowers_1.mp4
43,Kathy gives fifteen green flowers_1.mp4
44,Thomas kept eight pretty sofas_1.mp4
45,Rachel wants four cheap desks_1.mp4
46,Kathy kept seven heavy flowers_1.mp4
47,Steven got sixty pretty desks_1.mp4
