,0
0,Peter has three large desks_1.mp4
1,William kept nine small windows_1.mp4
2,Allen sold two green chairs_1.mp4
3,Nina sold twelve old windows_1.mp4
4,Allen sees nine large chairs_1.mp4
5,Thomas wants fifteen heavy tables_1.mp4
6,Nina has eight green spoons_1.mp4
7,Steven prefers three pretty desks_1.mp4
8,Peter prefers two heavy desks_1.mp4
9,Allen kept eight red toys_1.mp4
10,Steven sees nineteen dark sofas_1.mp4
11,Steven got twelve pretty windows_1.mp4
12,Peter ordered sixty white desks_1.mp4
13,Kathy gives nineteen red spoons_1.mp4
14,Thomas prefers nine dark rings_1.mp4
15,Lucy has three red desks_1.mp4
16,Rachel kept seven small rings_1.mp4
17,Lucy ordered twelve old desks_1.mp4
18,Steven bought fifteen large spoons_1.mp4
19,Peter has seven white flowers_1.mp4
20,Nina got two heavy tables_1.mp4
21,Nina ordered three heavy windows_1.mp4
22,Peter prefers four large rings_1.mp4
23,Rachel kept nine dark desks_1.mp4
24,Thomas sold fifteen white spoons_1.mp4
25,Nina got twelve white toys_1.mp4
26,Rachel prefers two old toys_1.mp4
27,Doris sold nine cheap houses_1.mp4
28,Kathy wants fifteen green tables_1.mp4
29,Peter has nineteen white windows_1.mp4
30,Doris got nine old windows_1.mp4
31,Steven sees nineteen dark sofas_1.mp4
32,Nina wants two small chairs_1.mp4
33,Peter ordered eight heavy desks_1.mp4
34,Thomas prefers fifteen small houses_1.mp4
35,Peter sold twelve small flowers_1.mp4
36,William ordered four heavy windows_1.mp4
37,Rachel kept eight large sofas_1.mp4
38,Kathy bought three red toys_1.mp4
39,Rachel kept eight large sofas_1.mp4
40,Steven wants three cheap desks_1.mp4
41,Thomas got eight red windows_1.mp4
42,William sold sixty large desks_1.mp4
43,Lucy has two small flowers_1.mp4
44,Doris wants twelve cheap toys_1.mp4
45,Nina sold nine heavy desks_1.mp4
46,William prefers three green flowers_1.mp4
47,Thomas ordered fifteen red houses_1.mp4
