,Column1,Column2,Column3,Column4,Column5
0,Peter,has,three,large,desks
1,William,kept,nine,small,windows
2,Allen,sold,two,green,chairs
3,Nina,sold,twelve,old,windows
4,William,kept,two,small,chairs
5,Thomas,wants,fifteen,heavy,tables
6,Nina,has,eight,green,spoons
7,Steven,prefers,three,pretty,desks
8,Peter,prefers,two,heavy,desks
9,Kathy,ordered,four,white,windows
10,Kathy,wants,nineteen,old,flowers
11,Doris,kept,three,green,tables
12,Allen,wants,eight,old,houses
13,Rachel,sees,seven,heavy,chairs
14,Lucy,got,nineteen,old,toys
15,Lucy,has,three,red,desks
16,Rachel,kept,seven,small,rings
17,Lucy,ordered,twelve,old,desks
18,Steven,bought,fifteen,large,spoons
19,Peter,has,seven,white,flowers
20,Nina,got,two,heavy,tables
21,Nina,ordered,three,heavy,windows
22,Doris,bought,eight,cheap,chairs
23,Allen,has,seven,pretty,toys
24,Thomas,sold,fifteen,white,spoons
25,Nina,got,twelve,white,toys
26,Thomas,ordered,three,dark,desks
27,Doris,sold,nine,cheap,houses
28,Kathy,wants,fifteen,green,tables
29,Peter,has,nineteen,white,windows
30,Rachel,sold,three,pretty,rings
31,William,has,seven,large,houses
32,Kathy,gives,fifteen,green,flowers
33,Peter,ordered,eight,heavy,desks
34,Thomas,prefers,fifteen,small,houses
35,Allen,has,nineteen,old,tables
36,Steven,sees,seven,pretty,spoons
37,Rachel,kept,eight,large,sofas
38,Doris,prefers,sixty,green,houses
39,Rachel,kept,eight,large,sofas
40,Rachel,wants,nine,heavy,desks
41,Allen,bought,nine,pretty,sofas
42,William,sold,sixty,large,desks
43,Peter,ordered,three,old,chairs
44,Doris,wants,twelve,cheap,toys
45,Thomas,gives,eight,large,tables
46,William,prefers,three,green,flowers
47,Thomas,ordered,fifteen,red,houses
