,0
0,Nina bought nineteen white houses_1.mp4
1,Kathy kept twelve old chairs_1.mp4
2,Peter gives four cheap tables_1.mp4
3,Allen wants fifteen heavy toys_1.mp4
4,Lucy got eight heavy toys_1.mp4
5,Thomas ordered three pretty houses_1.mp4
6,Rachel wants eight green rings_1.mp4
7,Peter gives sixty small flowers_1.mp4
8,Lucy sold nineteen small houses_1.mp4
9,Lucy gives fifteen green flowers_1.mp4
10,William got nineteen dark chairs_1.mp4
11,Rachel sees nine cheap houses_1.mp4
12,Peter wants three pretty chairs_1.mp4
13,Allen got nine old sofas_1.mp4
14,Nina ordered sixty heavy tables_1.mp4
15,Steven has three pretty desks_1.mp4
16,William kept nineteen white windows_1.mp4
17,Lucy sees twelve green houses_1.mp4
18,Kathy bought four dark rings_1.mp4
19,Kathy kept twelve old chairs_1.mp4
20,Steven gives two red toys_1.mp4
21,William got nine red windows_1.mp4
22,Lucy prefers fifteen heavy sofas_1.mp4
23,Nina bought nineteen white houses_1.mp4
24,Kathy ordered three dark chairs_1.mp4
25,Rachel has four small desks_1.mp4
26,Rachel sees fifteen old flowers_1.mp4
27,Allen bought nine pretty sofas_1.mp4
28,Kathy kept three green toys_1.mp4
29,Steven gives four dark desks_1.mp4
30,Steven sold fifteen cheap rings_1.mp4
31,Allen has fifteen small houses_1.mp4
32,Peter sold three large sofas_1.mp4
33,William ordered sixty cheap houses_1.mp4
34,Kathy ordered three dark chairs_1.mp4
35,Rachel sees three pretty rings_1.mp4
36,Peter got nineteen green desks_1.mp4
37,Kathy prefers eight red tables_1.mp4
38,William ordered seven white houses_1.mp4
39,Kathy gives fifteen green flowers_1.mp4
40,Peter sees eight dark spoons_1.mp4
41,Lucy sold nineteen heavy desks_1.mp4
42,Nina prefers seven large sofas_1.mp4
43,William sold nine red desks_1.mp4
44,Steven sees three red desks_1.mp4
45,William kept nineteen white windows_1.mp4
46,Kathy sold four large toys_1.mp4
47,Allen gives seven cheap chairs_1.mp4
