,0
0,mismatch right
1,mismatch right
2,mismatch right
3,match left
4,mismatch left
5,match left
6,mismatch right
7,mismatch left
8,match right
9,match right
10,mismatch left
11,mismatch left
12,mismatch left
13,match left
14,match right
15,match left
16,match right
17,match right
18,mismatch left
19,match right
20,mismatch left
21,match right
22,mismatch right
23,match left
24,match right
25,mismatch right
26,match right
27,match left
28,mismatch left
29,match right
30,match left
31,mismatch left
32,mismatch left
33,match right
34,mismatch left
35,mismatch right
36,mismatch right
37,match right
38,match left
39,mismatch right
40,match left
41,mismatch left
42,mismatch left
43,match left
44,match right
45,mismatch right
46,mismatch right
47,match left
48,match left
49,mismatch right
50,mismatch left
51,match left
52,match left
53,match left
54,match right
55,mismatch left
56,mismatch right
57,match right
58,mismatch right
59,mismatch right
