,Column1,Column2,Column3,Column4,Column5
0,Steven,sees,three,pretty,desks
1,Allen,gives,seven,green,flowers
2,Lucy,kept,two,old,rings
3,Allen,kept,seven,red,houses
4,Kathy,wants,sixty,old,toys
5,Nina,sold,two,heavy,desks
6,Rachel,got,eight,small,houses
7,Steven,gives,three,dark,chairs
8,Lucy,sees,eight,pretty,sofas
9,Kathy,gives,eight,large,spoons
10,Nina,sees,nineteen,green,houses
11,Allen,sold,four,red,flowers
12,Steven,bought,nine,heavy,toys
13,Allen,got,sixty,cheap,toys
14,Kathy,gives,twelve,cheap,tables
15,Rachel,gives,fifteen,small,desks
16,Peter,wants,nine,large,toys
17,Rachel,bought,eight,white,rings
18,William,kept,two,red,windows
19,Peter,sees,three,red,flowers
20,Rachel,gives,eight,dark,spoons
21,Kathy,sold,twelve,green,chairs
22,Lucy,ordered,three,large,tables
23,Peter,prefers,two,heavy,desks
24,Steven,sold,eight,cheap,houses
25,Allen,sees,nine,large,chairs
26,Thomas,wants,three,old,flowers
27,Lucy,has,nineteen,dark,desks
28,Allen,sees,nine,large,chairs
29,Nina,ordered,sixty,heavy,sofas
30,Nina,has,eight,small,windows
31,Nina,got,twelve,white,toys
32,Peter,gives,eight,red,houses
33,Allen,prefers,two,heavy,desks
34,Lucy,got,three,green,spoons
35,Thomas,wants,fifteen,heavy,tables
36,Allen,kept,eight,red,toys
37,Lucy,ordered,twelve,old,desks
38,William,ordered,four,heavy,windows
39,William,prefers,two,small,desks
40,Rachel,wants,seven,large,chairs
41,Kathy,ordered,fifteen,cheap,toys
42,Lucy,ordered,four,cheap,chairs
43,Thomas,prefers,nineteen,white,toys
44,Peter,sees,sixty,old,sofas
45,William,got,three,dark,houses
46,Peter,wants,three,small,tables
47,William,sold,nine,old,desks
48,Kathy,bought,fifteen,large,toys
49,Nina,gives,two,pretty,rings
50,Nina,got,two,heavy,tables
51,Peter,ordered,eight,heavy,desks
52,Lucy,prefers,twelve,large,sofas
53,Allen,gives,fifteen,cheap,flowers
54,William,kept,two,red,windows
55,Allen,got,three,cheap,chairs
56,Rachel,wants,fifteen,red,windows
57,Lucy,has,two,white,desks
58,Peter,prefers,four,large,rings
59,Thomas,got,twelve,heavy,windows
